token_id,time_of_sale,sale_time,price,buyer,seller,event_count,buyer_tscount,buyer_act_period,buyer_total_value,buyer_total_gasUsed,buyer_avg_gasPrice,buyer_avg_gasLimit,buyer_rolling_avg_value_last10,buyer_rolling_std_value_last10,seller_tscount,seller_act_period,seller_total_value,seller_total_gasUsed,seller_avg_gasPrice,seller_avg_gasLimit,seller_rolling_avg_value_last10,seller_rolling_std_value_last10,total_offers,unique_makers_count,mean_offer_price,std_offer_price,median_offer_price,highest_offer,lowest_offer,duration_offer_days,rarity.rank,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
1457,time_n_sale,2023-12,29.91,0x5f1ee29361206f1a129e808736f11598356c6031,0x064980edd7d43abee781f49a4e31c06df05ecccb,23,10000.0,710.6677893518519,12438.461811953346,1770859648.0,26481370733.3539,234904.717,0.0,0.0,6468.0,712.8140393518519,47580.92971708522,1244371341.0,23299526899.693413,330138.8702844774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602,Yellow,Vietnam Jacket,0,Bored,White,S&m Hat,Phoneme Wah
1810,time_n_sale,2024-12,17.8,0x0a60cf261abef4fcd00b549f63711d0f5b9d0da4,0xb65b4fd4dcb639b400fbd3d0ee5d272b5e49c2a8,20,91.0,1278.6568518518518,677.6925267797233,21276549.0,93952478144.0989,330289.23076923075,5.591383355492041,6.923585051759203,681.0,612.5619560185186,2973.5277039900634,66226086.0,11620354084.967695,114358.86930983848,0.3,0.9000000000000001,11.0,2.0,0.0072727272785509,0.0044536177046412,0.01,0.01,1.905e-11,9.335046296296296,2761,Aquamarine,Black Holes T,0,Eyepatch,Red,Fisherman's Hat,Jovial
3978,time_n_sale,2023-09,38.0,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0xdb682791f6ea977db2b35ebe710863e7db1aafe5,3,10000.0,1694.8374537037037,115918.2816435444,2377225036.0,114002619224.7982,318744.778,0.0,0.0,67.0,1140.1833680555555,87.94511,7542855.0,69114275354.19403,151892.1343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8648,Army Green,Sleeveless Logo T,0,Bored,Dark Brown,Bayc Hat Black,Bored
4504,time_n_sale,2024-02,20.98,0x0097b9cfe64455eed479292671a1121f502bc954,0xd0f716638fd372a5ee3656b512eda6691907c3c4,2,7102.0,983.839675925926,24997.27931633081,1071783798.0,24801867700.419743,196245.23908758097,0.1543892595854887,0.3044266947897193,980.0,1465.272662037037,146.340827061444,107896845.0,77003841975.27551,145086.56224489797,0.18649875,0.4751442220823939,1.0,1.0,0.01,0.0,0.01,0.01,0.01,0.0,4553,Aquamarine,Lab Coat,Silver Hoop,Bloodshot,Brown,Irish Boho,Bored
4423,time_n_sale,2021-05,0.5,0x09a4d3be4fb596e26fbcf2e9379460349b111131,0x33d27f0bb797de3d20e519f4a192b7570c56681b,2,1741.0,1464.0845717592592,1296.716822534647,328584634.0,85334415582.7599,339902.4336588168,0.4917781047748014,0.8645228842944218,397.0,1426.2081481481482,875.0526572408188,27848207.0,102062390515.92192,95049.93954659947,0.0541272177221122,0.0761516876463215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4875,Orange,0,Silver Hoop,Sleepy,Cream,Baby's Bonnet,Bored Cigarette
8128,time_n_sale,2024-01,22.39,0x440bcc7a1cf465eafabae301d1d7739cbfe09dda,0x3dac718f45dfc5b56aa67c35ef410b72d937d05c,69,725.0,422.6233449074074,4881.2202,112696648.0,30745804981.32,182936.7213793104,1.23,3.69,131.0,427.5377893518519,305.3365868592897,10984449.0,25957149267.068703,103504.09160305344,1.0123734,3.002631867813309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3078,Orange,Cowboy Shirt,0,Coins,Black,Vietnam Era Helmet,Rage
6812,time_n_sale,2021-07,7.1,0xb268c7737235ed29356e8a1e49da0364d3379117,0x16ffe3938b69132c72a5b0250708792db72971b4,3,279.0,1356.232650462963,214.7495268308908,26507358.0,47556597748.43369,125798.39426523296,0.027176,0.0338628820982502,1153.0,1463.857800925926,363.0701609893848,152822071.0,70984979710.39375,167955.61405030356,0.043,0.1193356610573721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602,Blue,Tweed Suit,Silver Stud,Closed,Brown,Safari,Bored Cigar
2730,time_n_sale,2021-10,43.0,0x2cf84928261f655a47d04ec714d3bedf9375de46,0xc71e8d9c352512540a94a0b85582a96f82ac7b4e,2,5571.0,2651.512349537037,3617.540857582824,376358473.0,31649383485.61264,83168.30676718723,0.4687998036807381,0.4017676421686881,304.0,1276.6744907407408,176.94484777578407,26784694.0,81666729196.76315,114309.6644736842,1.1995805200219756,2.086834965908496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9337,Blue,Bayc T Black,0,3d,Black,0,Bored Unshaven
151,time_n_sale,2025-02,12.5,0xff53e1da7b67ae676d7742f858aab5bd4bc937f6,0x29469395eaf6f95920e59f858042f0e28d98a20b,2,1104.0,319.11542824074075,4709.590304358543,91314034.0,8050515687.568841,108871.4429347826,3.1700001,4.166545255484463,10000.0,678.8754282407407,4412.184915619313,1638140982.0,95622727569.421,223037.5821,1.6699578153196215,3.029653442714214,1.0,1.0,0.0033,0.0,0.0033,0.0033,0.0033,0.0,3374,Gray,Bone Tee,0,Blindfold,Blue,Seaman's Hat,Bored Unshaven Cigarette
6256,time_n_sale,2022-06,86.84,0xd2c829d3c7ad652cc260d21fe61997a4feb532e4,0x5d5335e6bea4b12dcb942cec1da951ae63f2ae64,9,169.0,1372.1424421296297,368.4808269553109,16681706.0,44954208806.82249,128384.65680473374,0.178081728,0.3365748556074768,2402.0,1221.4768981481482,9274.016829945687,361751239.0,22326132798.390923,213111.0212323064,7.5,12.093386622447824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,Blue,Cowboy Shirt,Gold Stud,X Eyes,Tan,Girl's Hair Short,Bored Unshaven Cigarette
