gates_dec,n,mean_pct,lo_pct,hi_pct
1,639,-12.3373365571586,-12.3623370478528,-12.3154070707581
2,639,-11.8747530717197,-11.8819585303727,-11.8681750192375
3,638,-11.4719612342409,-11.481998818555,-11.4639548706856
4,639,-11.1966268614548,-11.2011913093185,-11.1923808331508
5,639,-10.9654812751255,-10.9714404956281,-10.9595456978953
6,638,-10.5884652588798,-10.5974508076125,-10.5795378675429
7,639,-10.0590599325544,-10.0714404015254,-10.0442026412579
8,638,-9.45925053488474,-9.46702660360432,-9.45153919143401
9,639,-9.20099929805088,-9.2055671894467,-9.1957845868413
10,639,-8.9226709481887,-8.93240935767519,-8.91285015364156
1,655,-9.29644949835847,-9.31295641271691,-9.27810020593131
2,655,-8.91423098678263,-8.91783510577312,-8.91042915889328
3,655,-8.78122626537243,-8.7841024991242,-8.77825669349246
4,654,-8.60924174125862,-8.61464815511715,-8.60343293844634
5,655,-8.31326013419613,-8.31766155632532,-8.30897675899551
6,655,-8.19221201953899,-8.19432769163013,-8.19021472444451
7,654,-8.11658714410268,-8.1180875647898,-8.11512382050934
8,655,-8.05021100124878,-8.05158717524317,-8.04869354434067
9,655,-7.97680757929983,-7.9787682063196,-7.97481377389655
10,655,-7.83993201678405,-7.84612712133404,-7.8343872150762
1,926,-12.2608043195886,-12.2916729417701,-12.2293412311635
2,925,-11.1215886696065,-11.1399644728756,-11.1016252953898
3,925,-9.81280774586912,-9.83486793102889,-9.78748937432871
4,926,-8.85674961797978,-8.86818473477705,-8.84635973193912
5,925,-8.31256714460089,-8.32130247689939,-8.30407510527117
6,925,-7.88957562948351,-7.8966603614467,-7.88327547419146
7,926,-7.44971541677945,-7.45828977293333,-7.44074275146053
8,925,-6.79538298843205,-6.81519282594178,-6.77498116161143
9,925,-4.76500691290499,-4.80030378563713,-4.72966325268003
10,926,-2.71435587825776,-2.76052492579137,-2.66132868188142
1,926,-8.56497477456953,-8.60652572432057,-8.52787871310208
2,925,-7.40080062920282,-7.41597475807794,-7.3872250929357
3,925,-6.78327004400048,-6.79408381417465,-6.77354084677814
4,926,-6.28191491980129,-6.29132753758278,-6.27237866933896
5,925,-5.7657554387747,-5.77506079530449,-5.757666632925
6,925,-5.25211030929316,-5.26109936844039,-5.24157247125665
7,926,-4.72568470986414,-4.73528378486872,-4.71607855253398
8,925,-4.19679737937499,-4.20720999284908,-4.18586548790028
9,925,-3.55921628114122,-3.57346040252204,-3.54534457415119
10,926,-2.34208030884118,-2.39111022863511,-2.2943024396977
