treatment,k,n,median_cate_pct,iqr_cate_pct_lo,iqr_cate_pct_hi,share_positive,min_pct,max_pct
Eyes_Sad,1,6387,-10.8009313033462,-11.4537513353838,-9.43209229625355,0,-13.2081833440792,-8.28275900235651
Eyes_Wide.Eyed,1,6548,-8.23699108030056,-8.78163474335191,-8.05021266839214,0,-10.1872475093745,-7.48874312963656
Fur_Black,1,9254,-8.08812060419478,-9.75314439094193,-6.87435913178343,0.000108061378863194,-13.7913232231764,0.0465819029644488
Mouth_Bored,1,9254,-5.51945246790919,-6.78100897206337,-4.20196241547192,0.000216122757726389,-10.9458724866081,0.00923323627368688
Mouth_Other,1,9243,38.5969984604936,36.9711120122601,41.2589493123992,1,32.4887528264851,47.0433338159594
Clothes_Other+Earring_No,2,9247,33.5368424222104,31.6975493240799,33.8425520041263,1,29.971424333274,34.9491098806821
Clothes_Striped.Tee+Earring_No,2,9250,-10.3764734687791,-11.4715293382341,-10.2432953274326,0,-13.338166767344,-9.80273579266101
Earring_No+Fur_Black,2,9254,-8.06718691397258,-9.32726367117683,-6.75856552667528,0,-14.2630805699491,-0.229767073346132
Earring_No+Hat_Other,2,5474,33.7454093964111,33.4558773146055,34.009603910449,1,30.274177841065,36.1009397794804
Earring_No+Mouth_Bored,2,9254,-6.29004549199174,-7.73022581425192,-4.9843762006888,0.000324184136589583,-11.121189743888,0.106784564555817
Earring_No+Mouth_Other,2,5542,42.2128054019302,41.4400171447802,44.9079689438562,1,39.3972367104317,46.4399020408455
Fur_Black+Mouth_Bored,2,8331,-10.7371628173294,-10.8559476868225,-10.6304457315055,0,-11.7503698208794,-10.0458499937592
Background_Aquamarine+Earring_No+Fur_Black,3,9254,-19.135176452008,-19.2478872947045,-19.0271617417296,0,-20.5573735950484,-17.1441371785931
Background_Aquamarine+Earring_No+Mouth_Bored,3,4808,-18.5784601001889,-18.663580227797,-18.4927033453303,0,-19.8233935963107,-18.1220882919879
Clothes_No+Earring_No+Hat_No,3,5419,56.2528396756775,55.9101205295076,56.6092113232528,1,52.6457818660287,60.9497777519514
Clothes_No+Earring_No+Mouth_Other,3,9254,40.1132588631024,39.8043528920614,40.435565767036,1,34.9897322829935,42.5066586775528
Earring_No+Eyes_Bored+Fur_Golden.Brown,3,9254,-11.5032606461348,-11.6139224723027,-11.3895107525871,0,-12.9833407500375,-10.811531031608
Earring_No+Eyes_Sad+Mouth_Bored,3,9254,-12.2735694980172,-12.4199031942302,-12.1250378075397,0,-15.272197933757,-11.3805574987283
Earring_No+Fur_Cream+Hat_No,3,9254,-12.941636369832,-13.0694698306687,-12.8114426981837,0,-14.8169255634961,-12.0658330615869
Background_Gray+Earring_No+Hat_No+Mouth_Bored,4,9254,-6.6602067613735,-7.03590946494525,-6.27705804637121,0,-14.5772660080822,-0.133885473024087
Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4,9254,-6.19556001023034,-6.37202792732999,-6.01485539766408,0,-8.27148820810766,-2.29696302430855
Clothes_No+Earring_No+Hat_No+Mouth_Bored,4,9254,52.0361051888271,51.434215605038,52.6309241118448,1,41.9126615382107,62.8930615288326
Earring_No+Eyes_Bored+Hat_No+Mouth_Bored,4,9254,-8.66174043644221,-8.86980542069788,-8.44987362667989,0,-10.8501661513616,-4.6363302380393
Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4,9254,-19.3694126738478,-19.4662553654843,-19.2685107474165,0,-20.611041042326,-18.1151221228515
