gates_dec,n,mean_pct,lo_pct,hi_pct
1,639,-12.3373365571586,-12.3623370478528,-12.3154070707581
2,639,-11.8747530717197,-11.8819585303727,-11.8681750192375
3,638,-11.4719612342409,-11.481998818555,-11.4639548706856
4,639,-11.1966268614548,-11.2011913093185,-11.1923808331508
5,639,-10.9654812751255,-10.9714404956281,-10.9595456978953
6,638,-10.5884652588798,-10.5974508076125,-10.5795378675429
7,639,-10.0590599325544,-10.0714404015254,-10.0442026412579
8,638,-9.45925053488474,-9.46702660360432,-9.45153919143401
9,639,-9.20099929805088,-9.2055671894467,-9.1957845868413
10,639,-8.9226709481887,-8.93240935767519,-8.91285015364156
