gates_dec,n,mean_pct,lo_pct,hi_pct
1,655,-9.29644949835847,-9.31295641271691,-9.27810020593131
2,655,-8.91423098678263,-8.91783510577312,-8.91042915889328
3,655,-8.78122626537243,-8.7841024991242,-8.77825669349246
4,654,-8.60924174125862,-8.61464815511715,-8.60343293844634
5,655,-8.31326013419613,-8.31766155632532,-8.30897675899551
6,655,-8.19221201953899,-8.19432769163013,-8.19021472444451
7,654,-8.11658714410268,-8.1180875647898,-8.11512382050934
8,655,-8.05021100124878,-8.05158717524317,-8.04869354434067
9,655,-7.97680757929983,-7.9787682063196,-7.97481377389655
10,655,-7.83993201678405,-7.84612712133404,-7.8343872150762
