gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-12.2608043195886,-12.2916729417701,-12.2293412311635
2,925,-11.1215886696065,-11.1399644728756,-11.1016252953898
3,925,-9.81280774586912,-9.83486793102889,-9.78748937432871
4,926,-8.85674961797978,-8.86818473477705,-8.84635973193912
5,925,-8.31256714460089,-8.32130247689939,-8.30407510527117
6,925,-7.88957562948351,-7.8966603614467,-7.88327547419146
7,926,-7.44971541677945,-7.45828977293333,-7.44074275146053
8,925,-6.79538298843205,-6.81519282594178,-6.77498116161143
9,925,-4.76500691290499,-4.80030378563713,-4.72966325268003
10,926,-2.71435587825776,-2.76052492579137,-2.66132868188142
