gates_dec,n,mean_pct,lo_pct,hi_pct
1,925,35.3471187497928,35.311992434068,35.3874305573454
2,924,36.3593282303308,36.3475190622795,36.3702134368587
3,924,36.9766705335502,36.9644849107596,36.9873926813458
4,924,37.6333784120562,37.6212779633753,37.6455165346256
5,925,38.2859434256128,38.2731574134644,38.2970033022646
6,924,38.9418068636387,38.9286961035869,38.9553670111301
7,924,39.9573769317005,39.9345261820434,39.9780534535812
8,924,41.2422721933975,41.2153899277039,41.2673693104413
9,924,42.5596207128873,42.532762287104,42.5895754960427
10,925,44.5261962297265,44.4723322271828,44.5703910147607
