gates_dec,n,mean_pct,lo_pct,hi_pct
1,548,32.9675666964809,32.9474993215047,32.9873615075749
2,547,33.2857175929262,33.2806968981604,33.2900021780862
3,547,33.4505287916252,33.4468164629814,33.4541740329082
4,548,33.5810430257288,33.5783373020971,33.5836158278248
5,547,33.6906759146013,33.6874154320051,33.6932263902168
6,547,33.7942704157505,33.7916180338882,33.7967894884481
7,548,33.900409203775,33.8979178405116,33.9029963751872
8,547,34.0133237982561,34.0099342372978,34.0164761237873
9,547,34.1639859715743,34.1595377440366,34.1685078342078
10,548,34.4936379094236,34.4754568381965,34.5123378462734
