gates_dec,n,mean_pct,lo_pct,hi_pct
1,834,-11.0492396710285,-11.055528365347,-11.0440957622175
2,833,-10.9208609773772,-10.9223265397795,-10.9194201994947
3,833,-10.8559074568395,-10.8570116132624,-10.8546698547364
4,833,-10.8030703256266,-10.8040446822498,-10.8020665323122
5,833,-10.7588356892523,-10.7597279522245,-10.7580382663515
6,833,-10.7161871927504,-10.7169821291448,-10.7154056134814
7,833,-10.6753641973443,-10.676118592187,-10.674496198152
8,833,-10.6304163393202,-10.631378975251,-10.6294940065332
9,833,-10.5744275261973,-10.575636078476,-10.573152784067
10,833,-10.4661191465454,-10.4703420282514,-10.4618679200798
