gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-19.4331169094136,-19.4391808467834,-19.4272964088947
2,925,-19.310036848294,-19.311413601088,-19.3085277947376
3,925,-19.2482048508439,-19.2492358274016,-19.2472554912254
4,926,-19.1990361705108,-19.1998193280068,-19.1982013974471
5,925,-19.1570860313704,-19.1579514982452,-19.156340788187
6,925,-19.1151074845617,-19.1158906278837,-19.1143500548036
7,926,-19.0716364000857,-19.0725361130884,-19.070829656575
8,925,-19.0263336085148,-19.0270914915697,-19.0254871163816
9,925,-18.9693176891213,-18.9705022325385,-18.9678986437027
10,926,-18.8522679539856,-18.8574397531515,-18.8465228988337
