gates_dec,n,mean_pct,lo_pct,hi_pct
1,542,55.3271150386841,55.3005974333463,55.3505629481586
2,542,55.7120441005281,55.7064790595753,55.7174507994542
3,542,55.9088586231768,55.904930018816,55.9126782164505
4,542,56.0574530500604,56.0542862503205,56.0608106611662
5,542,56.1902854097978,56.1870382976915,56.1932434950293
6,541,56.3151686871013,56.312190650276,56.3186332142306
7,542,56.4509081519611,56.4476263931777,56.4544279061518
8,542,56.6103305926884,56.6063663597309,56.6142588766059
9,542,56.7967770226424,56.7914157403189,56.8022106357023
10,542,57.1724879286314,57.1519089493375,57.1966564038681
