gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-11.8059474701364,-11.8131019005275,-11.799927740586
2,925,-11.6772725332737,-11.6785995087275,-11.6760907280193
3,925,-11.6145709613374,-11.6156187504621,-11.6135842261243
4,926,-11.5651661309268,-11.566072259474,-11.5643061201463
5,925,-11.5229665226125,-11.5237703998359,-11.5221878704193
6,925,-11.4813379609695,-11.4821250214612,-11.4804702929124
7,926,-11.4377874111688,-11.4386525169345,-11.4369550230544
8,925,-11.3887990450048,-11.3896924848144,-11.3877947707262
9,925,-11.327284894277,-11.3287966204101,-11.3258259935041
10,926,-11.2072998902225,-11.2113281764048,-11.2027235409035
