gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-13.2856147912998,-13.2938997498986,-13.278317359322
2,925,-13.140688480345,-13.1423516481554,-13.1391036802995
3,925,-13.0701471848903,-13.0711786290629,-13.0691355058049
4,926,-13.0140596135219,-13.0149890829718,-13.013108309843
5,925,-12.9650601879922,-12.9658834326431,-12.9641833773616
6,925,-12.9188547658753,-12.9197753061337,-12.9180376733403
7,926,-12.8689556446273,-12.8699237256518,-12.8680138401202
8,925,-12.8113879195701,-12.8125266806622,-12.8102629062107
9,925,-12.7417688573027,-12.7433429884637,-12.7400599730199
10,926,-12.6037466567963,-12.6088110504737,-12.5977649938756
