gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-7.65683918320977,-7.68195484983374,-7.63679774217244
2,925,-7.24327178397959,-7.24778984928623,-7.23879635910296
3,925,-7.03786111490045,-7.04096985811762,-7.0342903806914
4,926,-6.86885346615962,-6.87154667385768,-6.86618350792245
5,925,-6.72806060505756,-6.73077465619477,-6.72570456343272
6,925,-6.58720677022763,-6.59018318877318,-6.58428984451182
7,926,-6.43984669600809,-6.44279518512359,-6.43705655381274
8,925,-6.27259265209841,-6.27655784100923,-6.26893506500483
9,925,-6.05817241718217,-6.0625556168616,-6.05402633395979
10,926,-5.64165066179461,-5.66180487495027,-5.61959117856887
