gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-6.66648504480586,-6.67587560577237,-6.65768467149689
2,925,-6.47110321639139,-6.47323580450903,-6.46925628786154
3,925,-6.37453564673076,-6.37616126943236,-6.37281570955145
4,926,-6.29859679932851,-6.3000898388278,-6.29722237061461
5,925,-6.22667994462974,-6.2279046699372,-6.22560410312171
6,925,-6.16252638512763,-6.1637894336698,-6.16124649663851
7,926,-6.09012006677464,-6.09162435353479,-6.08864630608044
8,925,-6.013825356116,-6.0151507370122,-6.01231651394043
9,925,-5.91660900483565,-5.91867710578507,-5.91458097678798
10,926,-5.71967499152479,-5.72812904150551,-5.70992835223369
