gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,50.4773768431172,50.441174261346,50.505790080413
2,925,51.1098656998845,51.103587734221,51.117819119274
3,925,51.4279216342101,51.4233566768641,51.4329904494087
4,926,51.6900719542242,51.6855959669808,51.6945738516237
5,925,51.9247299553113,51.9201075171319,51.9288087805666
6,925,52.14871589227,52.144798101249,52.1525817568821
7,926,52.3761879519574,52.3717943944284,52.3805329919426
8,925,52.6347183397189,52.6290321748837,52.6402876318965
9,925,52.9523976394467,52.9458736423042,52.9587325688412
10,926,53.5835104060804,53.5544263421029,53.6154206690537
