gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-9.21972599097057,-9.23022016500963,-9.21041638615392
2,925,-8.98470917394707,-8.98715485721138,-8.98208606577991
3,925,-8.87237733280607,-8.87396412459447,-8.87044801206811
4,926,-8.78342508594544,-8.78493378558179,-8.78176139559431
5,925,-8.70098452311525,-8.70242012398125,-8.69971730578344
6,925,-8.621077744131,-8.6224552395575,-8.61980365244859
7,926,-8.54130357136424,-8.54282753030676,-8.5398012895348
8,925,-8.44784245330469,-8.44963570760275,-8.44596755070393
9,925,-8.33281052827733,-8.33512446449948,-8.33034674707399
10,926,-8.10866550296143,-8.11871052972365,-8.097751707556
