gates_dec,n,mean_pct,lo_pct,hi_pct
1,926,-19.6291369916372,-19.6346206567702,-19.6240289158074
2,925,-19.520276455746,-19.5213754009728,-19.5190599069435
3,925,-19.4669994939512,-19.467825012706,-19.466106681485
4,926,-19.4242824411888,-19.4250260354774,-19.4235996395878
5,925,-19.3872674978707,-19.3878593979129,-19.3865966436379
6,925,-19.3494099928006,-19.3501625435507,-19.3486816291062
7,926,-19.3099084967996,-19.3105484775546,-19.3092464761012
8,925,-19.2675743612347,-19.2684446840049,-19.2666730617753
9,925,-19.2133046721712,-19.2145055532114,-19.2122356172156
10,926,-19.1041340586502,-19.1085637440193,-19.0989246579929
