K,Combination,ATE_pct,CI95_lo,CI95_hi,n_kept,kept_pct,GATES_bot_mean,GATES_top_mean,GATES_lift,Median_pct,IQR_lo,IQR_hi,Share_pos_pct,Cal_slope,q_value_bh,Combo_full,Stub
1,Fur:Black,-8.1,-11.3,-4.7,9254,100,-12.3,-2.7,9.5,-8.1,-9.8,-6.9,0,,0,Fur_Black,Fur_Black
1,Mouth:Other,39.1,31.7,47,9243,99.9,35.3,44.5,9.2,38.6,37,41.3,100,,0,Mouth_Other,Mouth_Other
1,Mouth:Bored,-5.5,-8.4,-2.6,9254,100,-8.6,-2.3,6.2,-5.5,-6.8,-4.2,0,,0.003,Mouth_Bored,Mouth_Bored
1,Eyes:Sad,-10.6,-16.2,-4.6,6387,69,-12.3,-8.9,3.4,-10.8,-11.5,-9.4,0,,0.007,Eyes_Sad,Eyes_Sad
1,Eyes:Wide·Eyed,-8.4,-13.3,-3.2,6548,70.8,-9.3,-7.8,1.5,-8.2,-8.8,-8.1,0,,0.012,Eyes_Wide.Eyed,Eyes_Wide_Eyed
2,Ear:No+Fur:Black,-8.2,-12.1,-4,9254,100,-13,-2.9,10,-8.1,-9.3,-6.8,0,,0.002,Earring_No+Fur_Black,Earring_No_Fur_Black
2,Ear:No+Mouth:Bored,-6.3,-9.5,-2.9,9254,100,-9.5,-2.7,6.7,-6.3,-7.7,-5,0,,0.003,Earring_No+Mouth_Bored,Earring_No_Mouth_Bored
2,Cl:Other+Ear:No,32.9,22.4,44.3,9247,99.9,31.1,34.2,3.1,33.5,31.7,33.8,100,,0,Clothes_Other+Earring_No,Clothes_Other_Earring_No
2,Cl:Striped·Tee+Ear:No,-10.8,-15.7,-5.5,9250,100,-11.8,-10.1,1.7,-10.4,-11.5,-10.2,0,,0.001,Clothes_Striped.Tee+Earring_No,Clothes_Striped_Tee_Earring_No
2,Fur:Black+Mouth:Bored,-10.6,-16.3,-4.6,8331,90,-11,-10.5,0.6,-10.7,-10.9,-10.6,0,,0.007,Fur_Black+Mouth_Bored,Fur_Black_Mouth_Bored
3,Cl:No+Ear:No+Mouth:Other,39.8,21.1,61.4,9254,100,39.3,41,1.7,40.1,39.8,40.4,100,,0,Clothes_No+Earring_No+Mouth_Other,Clothes_No_Earring_No_Mouth_Other
3,Ear:No+Eyes:Sad+Mouth:Bored,-12,-21.2,-1.7,9254,100,-12.7,-11.9,0.8,-12.3,-12.4,-12.1,0,,0.104,Earring_No+Eyes_Sad+Mouth_Bored,Earring_No_Eyes_Sad_Mouth_Bored
3,Ear:No+Fur:Cream+Hat:No,-12.8,-20.7,-4.2,9254,100,-13.3,-12.6,0.7,-12.9,-13.1,-12.8,0,,0.026,Earring_No+Fur_Cream+Hat_No,Earring_No_Fur_Cream_Hat_No
3,BG:Aquamarine+Ear:No+Fur:Black,-19.2,-26,-11.8,9254,100,-19.4,-18.9,0.6,-19.1,-19.2,-19,0,,0,Background_Aquamarine+Earring_No+Fur_Black,Background_Aquamarine_Earring_No_Fur_Black
3,Ear:No+Eyes:Bored+Fur:Golden·Brown,-11.4,-18.4,-3.9,9254,100,-11.8,-11.2,0.6,-11.5,-11.6,-11.4,0,,0.023,Earring_No+Eyes_Bored+Fur_Golden.Brown,Earring_No_Eyes_Bored_Fur_Golden_Brown
4,Cl:No+Ear:No+Hat:No+Mouth:Bored,53.4,18.5,98.6,9254,100,50.5,53.6,3.1,52,51.4,52.6,100,,0.009,Clothes_No+Earring_No+Hat_No+Mouth_Bored,Clothes_No_Earring_No_Hat_No_Mouth_Bored
4,BG:Gray+Ear:No+Hat:No+Mouth:Bored,-7.1,-28.5,20.7,9254,100,-7.7,-5.6,2,-6.7,-7,-6.3,0,,0.818,Background_Gray+Earring_No+Hat_No+Mouth_Bored,Background_Gray_Earring_No_Hat_No_Mouth_Bored
4,Ear:No+Eyes:Bored+Hat:No+Mouth:Bored,-9,-22,6,9254,100,-9.2,-8.1,1.1,-8.7,-8.9,-8.4,0,,0.551,Earring_No+Eyes_Bored+Hat_No+Mouth_Bored,Earring_No_Eyes_Bored_Hat_No_Mouth_Bored
4,Cl:No+Ear:No+Eyes:Bored+Mouth:Bored,-5.9,-17.4,7.2,9254,100,-6.7,-5.7,0.9,-6.2,-6.4,-6,0,,0.692,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,Clothes_No_Earring_No_Eyes_Bored_Mouth_Bored
4,Ear:No+Fur:Dark·Brown+Hat:No+Mouth:Bored,-19.2,-25.4,-12.4,9254,100,-19.6,-19.1,0.5,-19.4,-19.5,-19.3,0,,0,Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,Earring_No_Fur_Dark_Brown_Hat_No_Mouth_Bored
