month_sale,n,mean_pct,lo_pct,hi_pct
1,64,-11.4491998372473,-11.6045512941209,-11.294112998717
2,42,-11.5244486265775,-11.6879727179039,-11.3337400954387
3,70,-11.3312436045859,-11.5064842932637,-11.1599285009287
4,78,-11.1972739463285,-11.3309342561964,-11.0762588632876
5,3713,-11.3598681621161,-11.378629330198,-11.3412925310336
6,1330,-9.34507312766956,-9.36933765047401,-9.3212379036745
7,356,-9.38939268902435,-9.43639333035317,-9.35050291006124
8,391,-9.39744765761775,-9.43266281880668,-9.35638134724249
9,81,-9.53640788873887,-9.62911129027678,-9.44134153290435
10,68,-9.43464625309051,-9.53770279228493,-9.32293972884971
11,109,-9.36553899515099,-9.45052444924592,-9.28704864334172
12,85,-9.50668866331439,-9.59772656816598,-9.41341897942486
