month_sale,n,mean_pct,lo_pct,hi_pct
1,79,-8.41205362480628,-8.50497911525221,-8.31233107585653
2,54,-8.52844530224189,-8.64437306670618,-8.41309711599568
3,79,-8.33424006089821,-8.43235823125707,-8.22959660944889
4,88,-8.31050727017732,-8.39134501102547,-8.22541674765067
5,4396,-8.38590392583982,-8.39905025587438,-8.37268275900961
6,1167,-8.44672025450676,-8.47445280256904,-8.42124280994248
7,262,-8.47907506159503,-8.52866998079006,-8.42709256498411
8,216,-8.53896784286144,-8.59670594359055,-8.47727293263766
9,48,-8.55612050606078,-8.68094430355416,-8.42511522929337
10,32,-8.58789152578034,-8.73311035409353,-8.44468018767689
11,75,-8.45326226501744,-8.54236156710309,-8.36898432742399
12,52,-8.46765632894848,-8.59390202985164,-8.35491272619043
