month_sale,n,mean_pct,lo_pct,hi_pct
1,121,38.2519073103862,37.9012930032978,38.690035920338
2,67,38.6566679403687,38.1793677209809,39.1513564137548
3,106,38.2932232291059,37.9023481238936,38.6871075592591
4,120,38.3358958008551,37.9758168103355,38.7333792791541
5,5627,38.2688853387529,38.2124535188707,38.3199942225068
6,1945,43.0867038375097,43.0085618891722,43.1582257706924
7,460,38.1741772200129,38.0425108787315,38.2953093300768
8,433,37.2306301073083,37.1083888353046,37.3311243580804
9,85,36.9550860958408,36.7016913862991,37.236744153606
10,75,37.0000898091214,36.7423183744405,37.2788799204746
11,115,37.1019016481074,36.884392018276,37.3128267283975
12,89,36.9033465900211,36.6595803803308,37.144129038958
