month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-10.2953029813052,-10.3258360845195,-10.2695584952161
2,67,-10.285337096432,-10.3190949217661,-10.253173436479
3,106,-10.2822871465802,-10.3162126156711,-10.2526832113783
4,120,-10.2839236084563,-10.3115236818126,-10.2595581392683
5,5634,-10.2809676689539,-10.284146845976,-10.2776671228658
6,1945,-11.5755000911688,-11.5829611244224,-11.567123161682
7,460,-11.5784551165128,-11.594191138614,-11.5619572842362
8,433,-11.5751702022745,-11.59025475558,-11.5581586891639
9,85,-11.5878644676231,-11.6300682280062,-11.5519512935531
10,75,-11.5435990770382,-11.5854853444719,-11.5023691213547
11,115,-11.5791284239382,-11.6092393092411,-11.5498433947759
12,89,-11.5448234982769,-11.581869314024,-11.5106530207308
