month_sale,n,mean_pct,lo_pct,hi_pct
1,60,-18.5588819734144,-18.6158142185223,-18.5195067151476
2,34,-18.5796050927128,-18.671943871055,-18.5217475648007
3,48,-18.5569408792594,-18.5872829645254,-18.526629044643
4,47,-18.5365317051657,-18.5708437272828,-18.5022498825012
5,3165,-18.5812936886541,-18.5854262278652,-18.5769215393136
6,911,-18.5730077755255,-18.581180675322,-18.5634079171326
7,214,-18.5837974423917,-18.6022961229648,-18.566375976302
8,223,-18.5675075147133,-18.5860753002171,-18.5487305006878
9,19,-18.5484410795016,-18.6077570477404,-18.4943831310074
10,23,-18.6095998139858,-18.6473569577429,-18.5691967452855
11,42,-18.5358044401892,-18.576592914805,-18.5004736215079
12,22,-18.581501692136,-18.6248865735932,-18.5375010224575
