month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-11.4960400066926,-11.5260964852435,-11.4671120598921
2,67,-11.4788918700356,-11.5339159140312,-11.4289197568795
3,106,-11.4821087836321,-11.5267138836311,-11.4410974812501
4,120,-11.5291586544345,-11.5680102916969,-11.492867421699
5,5638,-11.503872444304,-11.5080297193291,-11.4996992130052
6,1945,-11.4987131687126,-11.5057183440226,-11.491247386736
7,460,-11.5121846804455,-11.5284619914787,-11.4975605292357
8,433,-11.4964695142502,-11.5142098073757,-11.4804556976002
9,85,-11.5030096075081,-11.5412297750825,-11.466723705719
10,75,-11.5172127780177,-11.5508505006138,-11.4797613759857
11,115,-11.5087415138515,-11.5394386833353,-11.4825768835897
12,89,-11.507293682561,-11.5400233491861,-11.4749502301879
