month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-12.2583683430004,-12.2998904008325,-12.2187498139784
2,67,-12.2416792889785,-12.2899037035988,-12.1910351133997
3,106,-12.2727527695996,-12.3273093019692,-12.2198487843787
4,120,-12.2841269090907,-12.3265833875675,-12.2389052009477
5,5638,-12.2795345418942,-12.2853472106996,-12.2740543023723
6,1945,-12.2622467090579,-12.2729408389134,-12.2520824430885
7,460,-12.2745568957901,-12.2945875268679,-12.2564403288362
8,433,-12.2598641215092,-12.278452911162,-12.2390466714934
9,85,-12.2700437040304,-12.3156678458085,-12.2269780994633
10,75,-12.2482690698631,-12.2962081385197,-12.1995747066429
11,115,-12.2987602493924,-12.3454583627311,-12.2562009340746
12,89,-12.2269586824501,-12.2659504248965,-12.1926174031141
