month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-6.589688063188,-6.70936794160192,-6.46904012807285
2,67,-6.63949195659312,-6.75806786911218,-6.5224976841213
3,106,-6.57940807583791,-6.68528679816272,-6.47614850337571
4,120,-6.50205102039819,-6.67025071427846,-6.33981521748511
5,5638,-6.66072506665007,-6.67549082532847,-6.6447674575463
6,1945,-6.66283187161991,-6.68950401602214,-6.63778651790546
7,460,-6.60839623948088,-6.65617684156591,-6.56077963716235
8,433,-6.65981964635515,-6.71725296552749,-6.60969770090171
9,85,-6.75101229080825,-6.87945987857976,-6.63350259909519
10,75,-6.57059105260493,-6.68199080418185,-6.43636722238839
11,115,-6.6061991635233,-6.70791811869219,-6.50335581478564
12,89,-6.61506655650102,-6.72445679411272,-6.51516756987767
