month_sale,n,mean_pct,lo_pct,hi_pct
1,121,-8.64519360917313,-8.69914973399101,-8.59611057676794
2,67,-8.61354514942503,-8.68548098421414,-8.53839503914198
3,106,-8.67912842512086,-8.73374487412827,-8.62329631976737
4,120,-8.63997274295563,-8.7215732806578,-8.53846415856184
5,5638,-8.65618479253171,-8.66337676452685,-8.6485802446841
6,1945,-8.67328510318067,-8.68743582727505,-8.65746298678395
7,460,-8.67345709058764,-8.6999921429975,-8.64449346855098
8,433,-8.66415496153563,-8.69447054368177,-8.63181286252561
9,85,-8.73662576228238,-8.80491855576404,-8.6681247927848
10,75,-8.61154808945776,-8.67170475266705,-8.54750123704073
11,115,-8.68230541998834,-8.75359557752221,-8.61677660299277
12,89,-8.65418454186792,-8.71746184753631,-8.59820485940674
