traits_combination,k,treated_count,control_count,treated_ok,control_ok,treated_kept,control_kept,treated_prop,control_prop,treated_prop_kept,control_prop_kept,ATE,CI_lower,CI_upper,StdErr,p_value,ATE_pct,CI_lower_pct,CI_upper_pct,overlap_alpha,target_sample,n_total,n_kept,kept_pct,q_value_bh,rank_k,treatment_file_stub
Mouth_Other,1,743,8511,743,8511,743,8500,0.0802896044953534,0.919710395504647,0.0803851563345234,0.919614843665477,0.330341116399477,0.275180012859158,0.385502219939796,0.0281434201736321,0,39.1442691439554,31.6767688650698,47.0352576424851,0.05,overlap,9254,9243,99.8811324832505,0,1,Mouth_Other
Clothes_Other+Earring_No,2,274,8980,274,8980,274,8973,0.0296088178085152,0.970391182191485,0.0296312317508381,0.970368768249162,0.284444453940049,0.202350780122052,0.366538127758047,0.0418845274581621,1.11237685729293e-11,32.9023489231259,22.4277384969047,44.2731407615675,0.02,overlap,9254,9247,99.9243570347958,9.86307480133064e-10,1,Clothes_Other_Earring_No
Earring_No+Fur_Dark.Brown+Hat_No+Mouth_Bored,4,48,9206,48,9206,48,9206,0.00518694618543333,0.994813053814567,0.00518694618543333,0.994813053814567,-0.213014649299539,-0.293337665117356,-0.132691633481723,0.0409811305192941,2.0158342217691e-07,-19.1855701618125,-25.4229722431378,-12.4264902140675,0,overlap,9254,9254,100,4.4684325249215e-06,1,Earring_No_Fur_Dark_Brown_Hat_No_Mouth_Bored
Background_Aquamarine+Earring_No+Fur_Black,3,100,9154,100,9154,100,9154,0.0108061378863194,0.98919386211368,0.0108061378863194,0.98919386211368,-0.213366109114167,-0.301565952153294,-0.12516626607504,0.0449999199179219,2.12165192747804e-06,-19.2139681956665,-26.0340957360604,-11.7649814514256,0,overlap,9254,9254,100,4.03113866220828e-05,1,Background_Aquamarine_Earring_No_Fur_Black
Clothes_No+Earring_No+Mouth_Other,3,97,9157,97,9157,97,9157,0.0104819537497298,0.98951804625027,0.0104819537497298,0.98951804625027,0.335214722640057,0.191798080755484,0.478631364524631,0.073171756063558,4.62307172321985e-06,39.824058690152,21.142588206859,61.3864098330377,0,overlap,9254,9254,100,8.19824718917654e-05,2,Clothes_No_Earring_No_Mouth_Other
Fur_Black,1,1149,8105,1149,8105,1149,8105,0.12416252431381,0.87583747568619,0.12416252431381,0.87583747568619,-0.0840407264791551,-0.120300917834649,-0.0477805351236615,0.0185000976303539,5.55335193297424e-06,-8.06061883402661,-11.3346413308186,-4.66570105783366,0.05,overlap,9254,9254,100,9.23244758856967e-05,2,Fur_Black
Clothes_Striped.Tee+Earring_No,2,258,8996,258,8996,258,8992,0.0278798357467041,0.972120164253296,0.0278918918918919,0.972108108108108,-0.113874111069646,-0.170864844335175,-0.056883377804118,0.0290769047273104,8.99154076745567e-05,-10.7629711647367,-15.7064506720008,-5.52957635750527,0.02,overlap,9254,9250,99.9567754484547,0.0011958749220716,2,Clothes_Striped_Tee_Earring_No
Earring_No+Fur_Black,2,795,8459,795,8459,795,8459,0.0859087961962395,0.91409120380376,0.0859087961962395,0.91409120380376,-0.0850196313379791,-0.128701629481412,-0.041337633194546,0.0222867337466496,0.000136288332941659,-8.15057470466444,-12.0763735407286,-4.04948855252959,0.05,overlap,9254,9254,100,0.00157620419836875,3,Earring_No_Fur_Black
Mouth_Bored,1,2127,7127,2127,7127,2127,7127,0.229846552842014,0.770153447157986,0.229846552842014,0.770153447157986,-0.0568380900032238,-0.0872239552468963,-0.0264522247595512,0.0155029924712615,0.000246118179777044,-5.52529790288879,-8.3528176025434,-2.61054292286013,0.05,overlap,9254,9254,100,0.00251797830079591,3,Mouth_Bored
Earring_No+Mouth_Bored,2,1500,7754,1500,7754,1500,7754,0.162092068294791,0.837907931705208,0.162092068294791,0.837907931705209,-0.0645576062146223,-0.0994539534652059,-0.0296612589640387,0.0178042588013182,0.000287885164895529,-6.25178920889989,-9.46683637065663,-2.92256810427025,0.05,overlap,9254,9254,100,0.0028362019948967,4,Earring_No_Mouth_Bored
