K,stub,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh,combo,combo_short,rank_k,gates_dec,n,mean_pct,lo_pct,hi_pct
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,1,925,35.3471187497928,35.311992434068,35.3874305573454
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,2,924,36.3593282303308,36.3475190622795,36.3702134368587
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,3,924,36.9766705335502,36.9644849107596,36.9873926813458
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,4,924,37.6333784120562,37.6212779633753,37.6455165346256
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,5,925,38.2859434256128,38.2731574134644,38.2970033022646
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,6,924,38.9418068636387,38.9286961035869,38.9553670111301
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,7,924,39.9573769317005,39.9345261820434,39.9780534535812
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,8,924,41.2422721933975,41.2153899277039,41.2673693104413
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,9,924,42.5596207128873,42.532762287104,42.5895754960427
1,Mouth_Other,39.1442691439554,31.6767688650698,47.0352576424851,99.8811324832505,9243,0,Mouth_Other,Mouth:Other,1,10,925,44.5261962297265,44.4723322271828,44.5703910147607
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,1,926,-12.2608043195886,-12.2916729417701,-12.2293412311635
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,2,925,-11.1215886696065,-11.1399644728756,-11.1016252953898
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,3,925,-9.81280774586912,-9.83486793102889,-9.78748937432871
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,4,926,-8.85674961797978,-8.86818473477705,-8.84635973193912
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,5,925,-8.31256714460089,-8.32130247689939,-8.30407510527117
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,6,925,-7.88957562948351,-7.8966603614467,-7.88327547419146
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,7,926,-7.44971541677945,-7.45828977293333,-7.44074275146053
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,8,925,-6.79538298843205,-6.81519282594178,-6.77498116161143
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,9,925,-4.76500691290499,-4.80030378563713,-4.72966325268003
1,Fur_Black,-8.06061883402661,-11.3346413308186,-4.66570105783366,100,9254,9.23244758856967e-05,Fur_Black,Fur:Black,2,10,926,-2.71435587825776,-2.76052492579137,-2.66132868188142
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,1,926,-8.56497477456953,-8.60652572432057,-8.52787871310208
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,2,925,-7.40080062920282,-7.41597475807794,-7.3872250929357
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,3,925,-6.78327004400048,-6.79408381417465,-6.77354084677814
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,4,926,-6.28191491980129,-6.29132753758278,-6.27237866933896
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,5,925,-5.7657554387747,-5.77506079530449,-5.757666632925
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,6,925,-5.25211030929316,-5.26109936844039,-5.24157247125665
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,7,926,-4.72568470986414,-4.73528378486872,-4.71607855253398
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,8,925,-4.19679737937499,-4.20720999284908,-4.18586548790028
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,9,925,-3.55921628114122,-3.57346040252204,-3.54534457415119
1,Mouth_Bored,-5.52529790288879,-8.3528176025434,-2.61054292286013,100,9254,0.00251797830079591,Mouth_Bored,Mouth:Bored,3,10,926,-2.34208030884118,-2.39111022863511,-2.2943024396977
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,1,639,-12.3373365571586,-12.3623370478528,-12.3154070707581
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,2,639,-11.8747530717197,-11.8819585303727,-11.8681750192375
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,3,638,-11.4719612342409,-11.481998818555,-11.4639548706856
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,4,639,-11.1966268614548,-11.2011913093185,-11.1923808331508
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,5,639,-10.9654812751255,-10.9714404956281,-10.9595456978953
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,6,638,-10.5884652588798,-10.5974508076125,-10.5795378675429
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,7,639,-10.0590599325544,-10.0714404015254,-10.0442026412579
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,8,638,-9.45925053488474,-9.46702660360432,-9.45153919143401
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,9,639,-9.20099929805088,-9.2055671894467,-9.1957845868413
1,Eyes_Sad,-10.5895617903158,-16.2162174609813,-4.58503759811989,69.0188026799222,6387,0.00653628536425561,Eyes_Sad,Eyes:Sad,4,10,639,-8.9226709481887,-8.93240935767519,-8.91285015364156
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,1,655,-9.29644949835847,-9.31295641271691,-9.27810020593131
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,2,655,-8.91423098678263,-8.91783510577312,-8.91042915889328
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,3,655,-8.78122626537243,-8.7841024991242,-8.77825669349246
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,4,654,-8.60924174125862,-8.61464815511715,-8.60343293844634
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,5,655,-8.31326013419613,-8.31766155632532,-8.30897675899551
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,6,655,-8.19221201953899,-8.19432769163013,-8.19021472444451
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,7,654,-8.11658714410268,-8.1180875647898,-8.11512382050934
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,8,655,-8.05021100124878,-8.05158717524317,-8.04869354434067
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,9,655,-7.97680757929983,-7.9787682063196,-7.97481377389655
1,Eyes_Wide_Eyed,-8.39728129868599,-13.2899475231441,-3.2285434758357,70.7585908796196,6548,0.0124887682804144,Eyes_Wide.Eyed,Eyes:Wide·Eyed,5,10,655,-7.83993201678405,-7.84612712133404,-7.8343872150762
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,1,925,31.1142892648004,31.1034626609138,31.1256073231667
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,2,925,31.4569489674957,31.4528252272805,31.4611998484902
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,3,924,31.7034145733939,31.6982146049865,31.708359701964
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,4,925,32.6390328427775,32.6023959444471,32.6765447132123
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,5,925,33.4447178217252,33.4406517454788,33.4490271199586
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,6,924,33.6097309252978,33.6072229794665,33.6125802396395
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,7,925,33.7328405593234,33.7309449004448,33.7347605151123
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,8,924,33.8448875812268,33.8428148531029,33.8472687121431
2,Clothes_Other_Earring_No,32.9023489231259,22.4277384969047,44.2731407615675,99.9243570347958,9247,9.86307480133064e-10,Clothes_Other+Earring_No,Cl:Other+Ear:No,1,9,925,33.9831935312222,33.9803005547917,33.9864548499123
