feature,importance,rank,treatment,k
month_sale,0.288845692969181,1,Eyes_Sad,1
Earring_No,0.228710815154433,2,Eyes_Sad,1
Mouth_Bored,0.148793950917284,3,Eyes_Sad,1
Hat_No,0.0803112967911083,4,Eyes_Sad,1
Fur_Dark.Brown,0.0725409196336824,5,Eyes_Sad,1
Clothes_No,0.0571986841867554,6,Eyes_Sad,1
Background_Yellow,0.0424461323284305,7,Eyes_Sad,1
Fur_Black,0.0177297697531228,8,Eyes_Sad,1
Background_Gray,0.00803000424053472,9,Eyes_Sad,1
Background_Army.Green,0.00704134973752241,10,Eyes_Sad,1
Background_Blue,0.00247163625753077,11,Eyes_Sad,1
Background_Orange,0.00148298175451846,12,Eyes_Sad,1
Mouth_Bored.Cigarette,0.000494327251506153,13,Eyes_Sad,1
Background_Aquamarine,0,14,Eyes_Sad,1
Background_New.Punk.Blue,0,15,Eyes_Sad,1
Background_Purple,0,16,Eyes_Sad,1
Clothes_Bandolier,0,17,Eyes_Sad,1
Clothes_Bayc.T.Black,0,18,Eyes_Sad,1
Clothes_Bayc.T.Red,0,19,Eyes_Sad,1
Clothes_Biker.Vest,0,20,Eyes_Sad,1
Clothes_Black.Holes.T,0,21,Eyes_Sad,1
Clothes_Black.T,0,22,Eyes_Sad,1
Clothes_Bone.Necklace,0,23,Eyes_Sad,1
Clothes_Bone.Tee,0,24,Eyes_Sad,1
Clothes_Caveman.Pelt,0,25,Eyes_Sad,1
