feature,importance,rank,treatment,k
month_sale,0.362304864015268,1,Eyes_Wide.Eyed,1
Earring_No,0.329606780993011,2,Eyes_Wide.Eyed,1
Fur_Black,0.108205113811783,3,Eyes_Wide.Eyed,1
Clothes_No,0.0954671756153695,4,Eyes_Wide.Eyed,1
Mouth_Bored,0.0365702096606697,5,Eyes_Wide.Eyed,1
Background_Yellow,0.00777681102472705,6,Eyes_Wide.Eyed,1
Hat_No,0.00565831204917343,7,Eyes_Wide.Eyed,1
Background_Army.Green,0.00323332117095624,8,Eyes_Wide.Eyed,1
Background_Blue,0.00242499087821718,9,Eyes_Wide.Eyed,1
Fur_Brown,0.00161666058547812,10,Eyes_Wide.Eyed,1
Background_Orange,0.000808330292739061,11,Eyes_Wide.Eyed,1
Earring_Silver.Stud,0.000808330292739061,12,Eyes_Wide.Eyed,1
Mouth_Bored.Unshaven,0.000808330292739061,13,Eyes_Wide.Eyed,1
Mouth_Grin,0.000808330292739061,14,Eyes_Wide.Eyed,1
Background_Aquamarine,0,15,Eyes_Wide.Eyed,1
Background_Gray,0,16,Eyes_Wide.Eyed,1
Background_New.Punk.Blue,0,17,Eyes_Wide.Eyed,1
Background_Purple,0,18,Eyes_Wide.Eyed,1
Clothes_Bandolier,0,19,Eyes_Wide.Eyed,1
Clothes_Bayc.T.Black,0,20,Eyes_Wide.Eyed,1
Clothes_Bayc.T.Red,0,21,Eyes_Wide.Eyed,1
Clothes_Biker.Vest,0,22,Eyes_Wide.Eyed,1
Clothes_Black.Holes.T,0,23,Eyes_Wide.Eyed,1
Clothes_Black.T,0,24,Eyes_Wide.Eyed,1
Clothes_Bone.Necklace,0,25,Eyes_Wide.Eyed,1
