feature,importance,rank,treatment,k
month_sale,0.0895607897976836,1,Mouth_Bored,1
Fur_Golden.Brown,0.0573815472264743,2,Mouth_Bored,1
Earring_Silver.Stud,0.0519116315518266,3,Mouth_Bored,1
Earring_Silver.Hoop,0.0456588765653316,4,Mouth_Bored,1
Hat_Beanie,0.0432620425041285,5,Mouth_Bored,1
Eyes_Bored,0.0418378432349569,6,Mouth_Bored,1
Fur_Gray,0.0368223955137383,7,Mouth_Bored,1
Earring_No,0.0360114956498286,8,Mouth_Bored,1
Background_Yellow,0.0346321884421468,9,Mouth_Bored,1
Background_Orange,0.0342641816539175,10,Mouth_Bored,1
Clothes_No,0.034232007453551,11,Mouth_Bored,1
Background_Purple,0.0309555447402675,12,Mouth_Bored,1
Fur_Dark.Brown,0.0302788429219827,13,Mouth_Bored,1
Fur_Cream,0.0294499052669942,14,Mouth_Bored,1
Eyes_Closed,0.0276897628348143,15,Mouth_Bored,1
Fur_Brown,0.026717083789476,16,Mouth_Bored,1
Hat_No,0.0265578929071629,17,Mouth_Bored,1
Eyes_Bloodshot,0.0262259204713465,18,Mouth_Bored,1
Background_New.Punk.Blue,0.0261002755875507,19,Mouth_Bored,1
Background_Blue,0.0256318588098652,20,Mouth_Bored,1
Background_Army.Green,0.0245909426980232,21,Mouth_Bored,1
Background_Aquamarine,0.0235722746072751,22,Mouth_Bored,1
Background_Gray,0.0230862845238677,23,Mouth_Bored,1
Fur_Black,0.0183983076459567,24,Mouth_Bored,1
Eyes_Sleepy,0.0183186322357457,25,Mouth_Bored,1
