feature,importance,rank,treatment,k
month_sale,0.161012042120018,1,Mouth_Other,1
Earring_No,0.0815017605061809,2,Mouth_Other,1
Clothes_No,0.0716382950458509,3,Mouth_Other,1
Fur_Dark.Brown,0.063552877295457,4,Mouth_Other,1
Background_Army.Green,0.0623255578075344,5,Mouth_Other,1
Hat_No,0.0589480615606784,6,Mouth_Other,1
Eyes_Bored,0.0580978944794471,7,Mouth_Other,1
Background_Orange,0.0580353134730884,8,Mouth_Other,1
Background_Yellow,0.0534967511521102,9,Mouth_Other,1
Background_Purple,0.0462376345721968,10,Mouth_Other,1
Background_Aquamarine,0.0458217316193874,11,Mouth_Other,1
Background_New.Punk.Blue,0.0439103874290288,12,Mouth_Other,1
Background_Blue,0.0432132548853479,13,Mouth_Other,1
Fur_Black,0.0354477997921971,14,Mouth_Other,1
Fur_Brown,0.0343075843760126,15,Mouth_Other,1
Background_Gray,0.0320424150717158,16,Mouth_Other,1
Earring_Silver.Hoop,0.0126391173628458,17,Mouth_Other,1
Eyes_Bloodshot,0.0118251550475144,18,Mouth_Other,1
Fur_Cream,0.00792330074624082,19,Mouth_Other,1
Earring_Silver.Stud,0.00636514052188712,20,Mouth_Other,1
Eyes_Closed,0.00481866662334265,21,Mouth_Other,1
Fur_Golden.Brown,0.00380252751615051,22,Mouth_Other,1
Eyes_Sleepy,0.00223113974891378,23,Mouth_Other,1
Hat_Beanie,0.000449204121338326,24,Mouth_Other,1
Fur_Pink,0.000356387125515091,25,Mouth_Other,1
