feature,importance,rank,treatment,k
month_sale,0.797170939726455,1,Clothes_Striped.Tee+Earring_No,2
Mouth_Bored,0.0539185605075667,2,Clothes_Striped.Tee+Earring_No,2
Hat_No,0.0209683290862759,3,Clothes_Striped.Tee+Earring_No,2
Mouth_Bored.Unshaven,0.00449321337563056,4,Clothes_Striped.Tee+Earring_No,2
Background_Orange,0.00149773779187685,5,Clothes_Striped.Tee+Earring_No,2
Background_Aquamarine,0,6,Clothes_Striped.Tee+Earring_No,2
Background_Army.Green,0,7,Clothes_Striped.Tee+Earring_No,2
Background_Blue,0,8,Clothes_Striped.Tee+Earring_No,2
Background_Gray,0,9,Clothes_Striped.Tee+Earring_No,2
Background_New.Punk.Blue,0,10,Clothes_Striped.Tee+Earring_No,2
Background_Purple,0,11,Clothes_Striped.Tee+Earring_No,2
Background_Yellow,0,12,Clothes_Striped.Tee+Earring_No,2
Eyes_3d,0,13,Clothes_Striped.Tee+Earring_No,2
Eyes_Angry,0,14,Clothes_Striped.Tee+Earring_No,2
Eyes_Blindfold,0,15,Clothes_Striped.Tee+Earring_No,2
Eyes_Bloodshot,0,16,Clothes_Striped.Tee+Earring_No,2
Eyes_Bored,0,17,Clothes_Striped.Tee+Earring_No,2
Eyes_Closed,0,18,Clothes_Striped.Tee+Earring_No,2
Eyes_Coins,0,19,Clothes_Striped.Tee+Earring_No,2
Eyes_Crazy,0,20,Clothes_Striped.Tee+Earring_No,2
Eyes_Cyborg,0,21,Clothes_Striped.Tee+Earring_No,2
Eyes_Eyepatch,0,22,Clothes_Striped.Tee+Earring_No,2
Eyes_Heart,0,23,Clothes_Striped.Tee+Earring_No,2
Eyes_Holographic,0,24,Clothes_Striped.Tee+Earring_No,2
Eyes_Hypnotized,0,25,Clothes_Striped.Tee+Earring_No,2
