feature,importance,rank,treatment,k
month_sale,0.143832722291515,1,Earring_No+Fur_Black,2
Hat_No,0.141130966595988,2,Earring_No+Fur_Black,2
Background_Purple,0.0877405875317547,3,Earring_No+Fur_Black,2
Mouth_Bored.Unshaven,0.0702008970536155,4,Earring_No+Fur_Black,2
Clothes_No,0.067194506605048,5,Earring_No+Fur_Black,2
Eyes_Bored,0.0663160089608013,6,Earring_No+Fur_Black,2
Mouth_Bored,0.0654822950157774,7,Earring_No+Fur_Black,2
Background_Aquamarine,0.0573310125615829,8,Earring_No+Fur_Black,2
Background_Yellow,0.0503549701944644,9,Earring_No+Fur_Black,2
Background_Army.Green,0.0449317375731583,10,Earring_No+Fur_Black,2
Background_Gray,0.0444211132208675,11,Earring_No+Fur_Black,2
Background_Orange,0.0409196235396388,12,Earring_No+Fur_Black,2
Background_New.Punk.Blue,0.0402270344566467,13,Earring_No+Fur_Black,2
Background_Blue,0.0360219706300122,14,Earring_No+Fur_Black,2
Eyes_Bloodshot,0.0158791400875245,15,Earring_No+Fur_Black,2
Mouth_Bored.Cigarette,0.0117141865888959,16,Earring_No+Fur_Black,2
Mouth_Grin,0.00678043494716355,17,Earring_No+Fur_Black,2
Mouth_Other,0.00390657724808207,18,Earring_No+Fur_Black,2
Hat_Beanie,0.00376525809917694,19,Earring_No+Fur_Black,2
Eyes_Sleepy,0.00130753919860554,20,Earring_No+Fur_Black,2
Eyes_Closed,0.000358204499944031,21,Earring_No+Fur_Black,2
Eyes_Sad,0.000183213099736631,22,Earring_No+Fur_Black,2
Clothes_Bandolier,0,23,Earring_No+Fur_Black,2
Clothes_Bayc.T.Black,0,24,Earring_No+Fur_Black,2
Clothes_Bayc.T.Red,0,25,Earring_No+Fur_Black,2
