feature,importance,rank,treatment,k
month_sale,0.682810179768544,1,Earring_No+Mouth_Other,2
Clothes_No,0.135753421621451,2,Earring_No+Mouth_Other,2
Hat_No,0.097740615839369,3,Earring_No+Mouth_Other,2
Background_Yellow,0.0164363811125796,4,Earring_No+Mouth_Other,2
Background_Orange,0.0138411630421723,5,Earring_No+Mouth_Other,2
Fur_Dark.Brown,0.00346029076054307,6,Earring_No+Mouth_Other,2
Eyes_Bored,0.00173014538027154,7,Earring_No+Mouth_Other,2
Fur_Cream,0.00173014538027154,8,Earring_No+Mouth_Other,2
Background_Army.Green,0.000865072690135768,9,Earring_No+Mouth_Other,2
Background_New.Punk.Blue,0.000865072690135768,10,Earring_No+Mouth_Other,2
Background_Purple,0.000865072690135768,11,Earring_No+Mouth_Other,2
Background_Aquamarine,0,12,Earring_No+Mouth_Other,2
Background_Blue,0,13,Earring_No+Mouth_Other,2
Background_Gray,0,14,Earring_No+Mouth_Other,2
Clothes_Bandolier,0,15,Earring_No+Mouth_Other,2
Clothes_Bayc.T.Black,0,16,Earring_No+Mouth_Other,2
Clothes_Bayc.T.Red,0,17,Earring_No+Mouth_Other,2
Clothes_Biker.Vest,0,18,Earring_No+Mouth_Other,2
Clothes_Black.Holes.T,0,19,Earring_No+Mouth_Other,2
Clothes_Black.T,0,20,Earring_No+Mouth_Other,2
Clothes_Bone.Necklace,0,21,Earring_No+Mouth_Other,2
Clothes_Bone.Tee,0,22,Earring_No+Mouth_Other,2
Clothes_Caveman.Pelt,0,23,Earring_No+Mouth_Other,2
Clothes_Cowboy.Shirt,0,24,Earring_No+Mouth_Other,2
Clothes_Guayabera,0,25,Earring_No+Mouth_Other,2
