feature,importance,rank,treatment,k
Background_Aquamarine,0,1,Earring_No+Fur_Cream+Hat_No,3
Background_Army.Green,0,2,Earring_No+Fur_Cream+Hat_No,3
Background_Blue,0,3,Earring_No+Fur_Cream+Hat_No,3
Background_Gray,0,4,Earring_No+Fur_Cream+Hat_No,3
Background_New.Punk.Blue,0,5,Earring_No+Fur_Cream+Hat_No,3
Background_Orange,0,6,Earring_No+Fur_Cream+Hat_No,3
Background_Purple,0,7,Earring_No+Fur_Cream+Hat_No,3
Background_Yellow,0,8,Earring_No+Fur_Cream+Hat_No,3
Clothes_Bandolier,0,9,Earring_No+Fur_Cream+Hat_No,3
Clothes_Bayc.T.Black,0,10,Earring_No+Fur_Cream+Hat_No,3
Clothes_Bayc.T.Red,0,11,Earring_No+Fur_Cream+Hat_No,3
Clothes_Biker.Vest,0,12,Earring_No+Fur_Cream+Hat_No,3
Clothes_Black.Holes.T,0,13,Earring_No+Fur_Cream+Hat_No,3
Clothes_Black.T,0,14,Earring_No+Fur_Cream+Hat_No,3
Clothes_Bone.Necklace,0,15,Earring_No+Fur_Cream+Hat_No,3
Clothes_Bone.Tee,0,16,Earring_No+Fur_Cream+Hat_No,3
Clothes_Caveman.Pelt,0,17,Earring_No+Fur_Cream+Hat_No,3
Clothes_Cowboy.Shirt,0,18,Earring_No+Fur_Cream+Hat_No,3
Clothes_Guayabera,0,19,Earring_No+Fur_Cream+Hat_No,3
Clothes_Hawaiian,0,20,Earring_No+Fur_Cream+Hat_No,3
Clothes_Hip.Hop,0,21,Earring_No+Fur_Cream+Hat_No,3
Clothes_Lab.Coat,0,22,Earring_No+Fur_Cream+Hat_No,3
Clothes_Leather.Jacket,0,23,Earring_No+Fur_Cream+Hat_No,3
Clothes_Leather.Punk.Jacket,0,24,Earring_No+Fur_Cream+Hat_No,3
Clothes_Lumberjack.Shirt,0,25,Earring_No+Fur_Cream+Hat_No,3
