feature,importance,rank,treatment,k
Fur_Black,0.614634146341463,1,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Fur_Cream,0.131707317073171,2,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_No,0.0878048780487805,3,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Coins,0.0780487804878049,4,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Fur_Golden.Brown,0.0439024390243902,5,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Bandolier,0,6,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Bayc.T.Black,0,7,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Bayc.T.Red,0,8,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Biker.Vest,0,9,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Black.Holes.T,0,10,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Black.T,0,11,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Bone.Necklace,0,12,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Bone.Tee,0,13,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Caveman.Pelt,0,14,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Cowboy.Shirt,0,15,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Guayabera,0,16,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Hawaiian,0,17,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Hip.Hop,0,18,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Lab.Coat,0,19,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Leather.Jacket,0,20,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Leather.Punk.Jacket,0,21,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Lumberjack.Shirt,0,22,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Navy.Striped.Tee,0,23,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Other,0,24,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
Clothes_Prison.Jumpsuit,0,25,Background_Gray+Earring_No+Hat_No+Mouth_Bored,4
