feature,importance,rank,treatment,k
Background_Aquamarine,0,1,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_Army.Green,0,2,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_Blue,0,3,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_Gray,0,4,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_New.Punk.Blue,0,5,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_Orange,0,6,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_Purple,0,7,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Background_Yellow,0,8,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Black,0,9,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Blue,0,10,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Brown,0,11,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Cheetah,0,12,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Cream,0,13,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Dark.Brown,0,14,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Death.Bot,0,15,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Dmt,0,16,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Golden.Brown,0,17,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Gray,0,18,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Noise,0,19,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Other,0,20,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Pink,0,21,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Red,0,22,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Robot,0,23,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_Tan,0,24,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
Fur_White,0,25,Clothes_No+Earring_No+Eyes_Bored+Mouth_Bored,4
