feature,importance,rank,treatment,k
Background_Aquamarine,0,1,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_Army.Green,0,2,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_Blue,0,3,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_Gray,0,4,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_New.Punk.Blue,0,5,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_Orange,0,6,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_Purple,0,7,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Background_Yellow,0,8,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_3d,0,9,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Angry,0,10,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Blindfold,0,11,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Bloodshot,0,12,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Bored,0,13,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Closed,0,14,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Coins,0,15,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Crazy,0,16,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Cyborg,0,17,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Eyepatch,0,18,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Heart,0,19,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Holographic,0,20,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Hypnotized,0,21,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Other,0,22,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Robot,0,23,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Sad,0,24,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
Eyes_Scumbag,0,25,Clothes_No+Earring_No+Hat_No+Mouth_Bored,4
