"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Gray","Background_Gray","Background","Gray",1,1,0.00917080561928798,0.0318226076856072,-0.0532015054445022,0.0715431166830782,0.921298630215261
"Background_Gray","Background_Gray","Background","Gray",1,2,0.00496036871254944,0.0345295746052606,-0.0627175975137614,0.0726383349388603,0.497269170854087
"Background_Gray","Background_Gray","Background","Gray",1,3,-0.00820640430837687,0.0232930189704116,-0.0538607214903836,0.0374479128736299,-0.817282369402472
"Background_Gray","Background_Gray","Background","Gray",1,4,0.0133183272708414,0.0373495129880734,-0.0598867181857825,0.0865233727274653,1.34074112352986
"Background_Gray","Background_Gray","Background","Gray",1,5,-0.00163143553392521,0.0167090355917141,-0.0343811452936849,0.0311182742258345,-0.163010546637932
"Background_Gray","Background_Gray","Background","Gray",1,6,0.00929639013685184,0.031473831518294,-0.0523923196390044,0.0709850999127081,0.93397357868763
"Background_Gray","Background_Gray","Background","Gray",1,7,0.00419282501925325,0.0300163438261456,-0.0546392088799921,0.0630248589184986,0.420162720778694
"Background_Gray","Background_Gray","Background","Gray",1,8,0.0165245126837517,0.0229983446304659,-0.0285522427919615,0.0616012681594648,1.66617975897432
"Background_Gray","Background_Gray","Background","Gray",1,9,0.0158191481639852,0.02923893094215,-0.0414891564826287,0.0731274528105992,1.5944933284167
"Background_Gray","Background_Gray","Background","Gray",1,10,-0.00741878478502718,0.0205058665679299,-0.0476102832581697,0.0327727136881154,-0.739133352812082
"Background_Gray","Background_Gray","Background","Gray",1,11,0.0113329738510905,0.0221138987788601,-0.0320102677554752,0.0546762154576562,1.13974352823325
"Background_Gray","Background_Gray","Background","Gray",1,12,-0.00781108739104234,0.0287649796892811,-0.0641904475820332,0.0485682727999486,-0.778066012281897
"Background_Gray","Background_Gray","Background","Gray",1,13,0.0094150418203206,0.0312016865751857,-0.0517402638670434,0.0705703475076846,0.945950275085483
"Background_Gray","Background_Gray","Background","Gray",1,14,-0.00325699747828348,0.0273960861482813,-0.0569533263289148,0.0504393313723479,-0.325169921570023
"Background_Gray","Background_Gray","Background","Gray",1,15,0.00220646546331447,0.0344566736216676,-0.065328614835154,0.069741545761783,0.220890149958208
"Background_Gray","Background_Gray","Background","Gray",1,16,0.003557980882231,0.0303549279803318,-0.0559376779592193,0.0630536397236813,0.356431800977419
"Background_Gray","Background_Gray","Background","Gray",1,17,0.00624752986239403,0.0238185368606486,-0.0404368023844773,0.0529318621092654,0.626708638252027
"Background_Gray","Background_Gray","Background","Gray",1,18,-0.00562569194618529,0.0143710116182842,-0.0337928747180224,0.0225414908256518,-0.560989737359541
"Background_Gray","Background_Gray","Background","Gray",1,19,-0.00637177991800753,0.0408959105212094,-0.086527764539578,0.073784204703563,-0.635152317501697
"Background_Gray","Background_Gray","Background","Gray",1,20,-0.00850637538870718,0.0287470900835917,-0.0648506719525469,0.0478379211751325,-0.847029854444548
"Background_Gray","Background_Gray","Background","Gray",1,21,0.00147688621527939,0.0294602960994452,-0.0562652941396332,0.059219066570192,0.147797734881983
"Background_Gray","Background_Gray","Background","Gray",1,22,0.0136730673144666,0.0200559518426806,-0.0256365982971875,0.0529827329261206,1.37669711959578
"Background_Gray","Background_Gray","Background","Gray",1,23,0.00307116828330026,0.0269108008041306,-0.0496740012927957,0.0558163378593962,0.307588915223622
"Background_Gray","Background_Gray","Background","Gray",1,24,0.000445364709616218,0.0247992788206045,-0.0481612217787685,0.0490519511980009,0.044546389920308
"Background_Gray","Background_Gray","Background","Gray",1,25,-0.00460403073355207,0.017838521493003,-0.0395675328598379,0.0303594713927337,-0.45934484306992
"Background_Gray","Background_Gray","Background","Gray",1,26,-0.00240002502816084,0.0226408501682272,-0.0467760913578862,0.0419760413015646,-0.239714727078322
"Background_Gray","Background_Gray","Background","Gray",1,27,0.00814070479367625,0.0199894695481157,-0.0310386555206305,0.047320065107983,0.817393042977987
"Background_Gray","Background_Gray","Background","Gray",1,28,0.00563682994668764,0.0238168003355124,-0.0410440987109167,0.052317758604292,0.565274676535799
"Background_Gray","Background_Gray","Background","Gray",1,29,0.000708203227783438,0.024704070393729,-0.0477117747439254,0.0491281811994923,0.0708454062899877
"Background_Gray","Background_Gray","Background","Gray",1,30,0.00632455769187764,0.027636447998896,-0.0478428803859586,0.0604919957697139,0.634459993737724
"Background_Gray","Background_Gray","Background","Gray",1,31,0.0209060005079851,0.0239108428316613,-0.025959251442071,0.0677712524580412,2.11260617950093
"Background_Gray","Background_Gray","Background","Gray",1,32,0.00160833136953538,0.0360340334571627,-0.0690183742065036,0.0722350369455743,0.160962542809773
"Background_Gray","Background_Gray","Background","Gray",1,33,-0.00657664148001662,0.0162425793954206,-0.038412097095041,0.0252588141350078,-0.655506270464246
"Background_Gray","Background_Gray","Background","Gray",1,34,0.00281623337258789,0.0215388436277845,-0.0393999001378697,0.0450323668830455,0.282020268308592
"Background_Gray","Background_Gray","Background","Gray",1,35,-0.00297494434112167,0.0306091192436561,-0.0629688180586877,0.0570189293764444,-0.297052357913219
"Background_Gray","Background_Gray","Background","Gray",1,36,0.0108167787866045,0.0248071632652231,-0.0378052612132328,0.0594388187864419,1.08754916419611
"Background_Gray","Background_Gray","Background","Gray",1,37,0.0191054944564683,0.0242193151445527,-0.028364363226855,0.0665753521397916,1.9289172302948
"Background_Gray","Background_Gray","Background","Gray",1,38,0.00195102742192942,0.0311442243451563,-0.0590916522945769,0.0629937071384357,0.195293191430079
"Background_Gray","Background_Gray","Background","Gray",1,39,0.0025050385122742,0.02227991211166,-0.0411635892265794,0.0461736662511278,0.25081787428336
"Background_Gray","Background_Gray","Background","Gray",1,40,-0.017908506558211,0.0197584753757858,-0.0566351182947511,0.0208181051783291,-1.77491022374729
"Background_Gray","Background_Gray","Background","Gray",1,41,-0.000325013446996886,0.0315425894225102,-0.0621484887151168,0.061498461821123,-0.0324960635848082
"Background_Gray","Background_Gray","Background","Gray",1,42,0.0060369466845118,0.0203240408247135,-0.0337981733319266,0.0458720667009502,0.605520577170071
"Background_Gray","Background_Gray","Background","Gray",1,43,0.00984525835214093,0.0364349225530454,-0.061567189851828,0.0812577065561099,0.989388234908373
"Background_Gray","Background_Gray","Background","Gray",1,44,0.015092447165319,0.0280929145772498,-0.0399696654060906,0.0701545597367287,1.52069132789756
"Background_Gray","Background_Gray","Background","Gray",1,45,0.00493994739861368,0.0140212687865822,-0.0225417394230875,0.0324216342203148,0.495216905525719
"Background_Gray","Background_Gray","Background","Gray",1,46,0.00152976415579523,0.0266017007229178,-0.0506095692611237,0.0536690975727142,0.153093484186306
"Background_Gray","Background_Gray","Background","Gray",1,47,0.0194130001251296,0.0321033844895744,-0.0435096334744363,0.0823356337246954,1.9602657698234
"Background_Gray","Background_Gray","Background","Gray",1,48,0.0214662342118332,0.0287014530162614,-0.034788613700039,0.0777210821237055,2.16982913068671
"Background_Gray","Background_Gray","Background","Gray",1,49,-0.003829710874841,0.0215388559187216,-0.0460458684755352,0.0383864467258532,-0.382238688471981
"Background_Gray","Background_Gray","Background","Gray",1,50,0.0150507590628436,0.0235269268769988,-0.0310620176160741,0.0611635357417613,1.51645921112917
"Background_Gray","Background_Gray","Background","Gray",1,51,0.0122202533431793,0.0234081459570161,-0.0336597127325723,0.058100219418931,1.22952257216322
"Background_Gray","Background_Gray","Background","Gray",1,52,0.0216944858562616,0.0272015166286445,-0.0316204867358816,0.0750094584484047,2.19315222386269
"Background_Gray","Background_Gray","Background","Gray",1,53,0.0188025114114874,0.0179725816221755,-0.0164237485679766,0.0540287713909514,1.89803917458065
"Background_Gray","Background_Gray","Background","Gray",1,54,-0.00530477720360549,0.0250889713984076,-0.0544791611444843,0.0438696067372733,-0.529073172004446
"Background_Gray","Background_Gray","Background","Gray",1,55,0.012865823443183,0.0253394075389226,-0.0367994153331053,0.0625310622194713,1.29489442395956
"Background_Gray","Background_Gray","Background","Gray",1,56,-0.0024971176080811,0.0269320662855719,-0.0552839675278021,0.0502897323116398,-0.24940024034571
"Background_Gray","Background_Gray","Background","Gray",1,57,-0.00659092116204145,0.0183483325838981,-0.0425536530264817,0.0293718107023988,-0.656924868117037
"Background_Gray","Background_Gray","Background","Gray",1,58,0.00500680122860632,0.0242727756170327,-0.0425678389807778,0.0525814414379904,0.501935620255201
"Background_Gray","Background_Gray","Background","Gray",1,59,0.0186999043575911,0.0145572786167163,-0.00983236173117285,0.047232170446355,1.88758425336664
"Background_Gray","Background_Gray","Background","Gray",1,60,0.0148023844706451,0.0159517047859318,-0.0164629569097812,0.0460677258510715,1.49124823298399
"Background_Gray","Background_Gray","Background","Gray",1,61,0.0107973531036344,0.032115122898908,-0.0521482877782254,0.0737429939854942,1.08558548858675
"Background_Gray","Background_Gray","Background","Gray",1,62,0.0254858695925264,0.0170124455192122,-0.00785852362512944,0.0588302628101823,2.58134110065433
"Background_Gray","Background_Gray","Background","Gray",1,63,0.0237464584380571,0.0201478164567521,-0.015743261817177,0.0632361786932912,2.40306506431514
"Background_Gray","Background_Gray","Background","Gray",1,64,0.00843161911375621,0.0162691288514172,-0.0234558734350214,0.0403191116625339,0.846726532886577
"Background_Gray","Background_Gray","Background","Gray",1,65,-0.0109906385526726,0.0203992382498096,-0.0509731455222995,0.0289918684169543,-1.09304621455888
"Background_Gray","Background_Gray","Background","Gray",1,66,0.0168145863486561,0.0258465466997127,-0.0338446451827809,0.067473817880093,1.69567471798244
"Background_Gray","Background_Gray","Background","Gray",1,67,0.0125406697066118,0.0221407705515068,-0.0308552405743415,0.0559365799875652,1.26196336466065
"Background_Gray","Background_Gray","Background","Gray",1,68,0.00817086244207575,0.0187179642632686,-0.0285163475139307,0.0448580723980822,0.820433504316287
"Background_Gray","Background_Gray","Background","Gray",1,69,-0.00394049830291007,0.0289547190284416,-0.0606917475986557,0.0528107509928356,-0.393274472713323
"Background_Gray","Background_Gray","Background","Gray",1,70,0.0202133728040506,0.0182184287593607,-0.0154947475642965,0.0559214931723976,2.04190464728649
"Background_Gray","Background_Gray","Background","Gray",1,71,-0.00186735041905196,0.0319083821149793,-0.0644077793644113,0.0606730785263074,-0.18656080049928
