"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,1,-0.00391787951230359,0.0392682328718761,-0.0808836159411807,0.0730478569165735,-0.391021463565555
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,2,0.00378046989997987,0.0276799719819895,-0.0504722751847196,0.0580332149846793,0.378762488987894
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,3,0.0230058685167532,0.0248641166838219,-0.0257278001835377,0.0717395372170442,2.32725446216682
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,4,-0.012202319582563,0.0364937241711481,-0.0837300189580132,0.0593253797928872,-1.21281731734465
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,5,0.0392094389017463,0.0256604615265443,-0.0110850656902805,0.089503943493773,3.99882748445
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,6,-0.000576063674790239,0.0193951212727197,-0.0385905013693208,0.0374383740197404,-0.0575897781967982
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,7,0.00624771071015701,0.0256624442294336,-0.0440506799795328,0.0565461013998468,0.62672683636884
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,8,-0.00675114030219169,0.028795064540969,-0.063189466802491,0.0496871861981076,-0.672840255185692
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,9,-0.0129574196636279,0.0297382218729441,-0.0712443345345983,0.0453294952073426,-1.28738337103692
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,10,-0.00664341862362003,0.0220888403656858,-0.0499375457403642,0.0366507084931242,-0.662139990495325
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,11,-0.0307456488104032,0.0214727905173267,-0.0728323182243635,0.0113410206035571,-3.0277808296136
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,12,-0.0203262711084819,0.0317193864142165,-0.0824962684803462,0.0418437262633825,-2.01210850341261
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,13,-0.0197357729052243,0.0283472358735112,-0.0752963552173062,0.0358248094068576,-1.95422974257254
"Earring_Silver.Hoop","Earring_Silver.Hoop","Earring","Silver.Hoop",1,14,-0.00982253195420297,0.0258211749342042,-0.0604320348252431,0.0407869709168372,-0.97744484499086
