"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,2,-0.0945277760907682,0.0401166532797481,-0.173156416519075,-0.0158991356624619,-9.01975364807425
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,3,-0.0980765910244751,0.0394549685613358,-0.175408329404693,-0.0207448526442569,-9.34205347552396
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,4,-0.123734608939787,0.0336327607179466,-0.189654819946963,-0.0578143979326118,-11.6385686892667
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,5,-0.0950345011338196,0.044084163038824,-0.181439460689915,-0.00862954157772458,-9.06584393878527
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,6,-0.0980178192852343,0.0270062865337673,-0.150950140891418,-0.0450854976790504,-9.33672519375606
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,7,-0.106480099857186,0.0284967775039151,-0.162333783764859,-0.050626415949512,-10.1007061928918
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,8,-0.119112188614516,0.0289045388836102,-0.175765084826391,-0.0624592924026396,-11.2291795578281
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,9,-0.11932887767119,0.0359581699031253,-0.189806890681316,-0.0488508646610646,-11.2484131392414
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,11,-0.129311042934568,0.0274344499443128,-0.183082564825421,-0.0755395210437146,-12.1299390581119
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,13,-0.0969026401087158,0.0459399495887959,-0.186944941302756,-0.00686033891467587,-9.2355630011158
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,17,-0.110899330211167,0.0267638950307108,-0.16335656447136,-0.0584420959509741,-10.4971153241107
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,18,-0.0980266573063346,0.0457064848305931,-0.187611367574297,-0.00844194703837223,-9.33752647415095
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,23,-0.110360892424069,0.0359374616054424,-0.180798317170736,-0.0399234676774016,-10.4489106124924
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,24,-0.107342883429101,0.0415511553035354,-0.188783147824031,-0.0259026190341717,-10.1782363760218
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,25,-0.104534421042709,0.035275672639478,-0.173674739416086,-0.0353941026693324,-9.92562076672733
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,26,-0.0992468910674534,0.034015440150969,-0.165917153763353,-0.0325766283715542,-9.44808841578817
"Eyes_Sad","Eyes_Sad","Eyes","Sad",1,27,-0.136795960073902,0.0318943983898323,-0.199308980917974,-0.0742829392298309,-12.7851838975097
