"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Hat_No","Hat_No","Hat","No",1,1,-0.0551474890189746,0.039024071203136,-0.131634668577121,0.021339690539172,-5.36544379185172
"Hat_No","Hat_No","Hat","No",1,2,-0.0664248971411904,0.0236151983607132,-0.112710685928188,-0.0201391083541925,-6.42668105449653
"Hat_No","Hat_No","Hat","No",1,3,0.183415562407317,0.0849770940040515,0.0168604581593766,0.349970666655258,20.1313525106948
"Hat_No","Hat_No","Hat","No",1,4,-0.128441434663545,0.0265596981286668,-0.180498442995732,-0.0763844263313584,-12.0534932922239
"Hat_No","Hat_No","Hat","No",1,5,-0.0309213489159476,0.0321797133558763,-0.0939935870934651,0.03215088926157,-3.04481736205261
"Hat_No","Hat_No","Hat","No",1,6,-0.0447431773123831,0.0363330665343675,-0.115955987719743,0.0264696330949772,-4.37569647937718
"Hat_No","Hat_No","Hat","No",1,7,-0.0255273926233414,0.0341624348255399,-0.0924857648813996,0.0414309796347167,-2.52043236107823
"Hat_No","Hat_No","Hat","No",1,8,-0.0566330399121094,0.0227808802445658,-0.101283565191458,-0.0119825146327604,-5.5059238703601
"Hat_No","Hat_No","Hat","No",1,9,-0.0948437223800321,0.0384377251035512,-0.170181663582992,-0.0195057811770718,-9.04849397886595
"Hat_No","Hat_No","Hat","No",1,10,-0.104033428888739,0.025218293395325,-0.153461283943576,-0.0546055738339024,-9.88048290354421
"Hat_No","Hat_No","Hat","No",1,11,-0.0389911064841211,0.0372389220559196,-0.111979393713723,0.0339971807454812,-3.82407374703951
"Hat_No","Hat_No","Hat","No",1,12,0.315263729144466,0.0451610533687306,0.226748064541754,0.403779393747178,37.0620735929826
"Hat_No","Hat_No","Hat","No",1,13,-0.0361690177582142,0.0328328267128158,-0.100521358115333,0.0281833225989048,-3.55227340791
"Hat_No","Hat_No","Hat","No",1,14,-0.103143297377909,0.0278069058391203,-0.157644832822585,-0.0486417619332333,-9.80022896865666
"Hat_No","Hat_No","Hat","No",1,15,0.308256178068543,0.0687746428104243,0.173457878160111,0.443054477976975,36.1049615341673
"Hat_No","Hat_No","Hat","No",1,16,-0.0513231811595022,0.024179332970881,-0.0987146737824289,-0.00393168853657549,-5.00283920090792
"Hat_No","Hat_No","Hat","No",1,17,-0.0892622882257813,0.0235300879498402,-0.135381260607468,-0.0431433158440946,-8.53943481822033
"Hat_No","Hat_No","Hat","No",1,18,0.110951354912978,0.104593251446108,-0.0940514179213943,0.31595412774735,11.7340552404026
"Hat_No","Hat_No","Hat","No",1,19,0.306799137557595,0.0605204015286868,0.188179150561369,0.425419124553822,35.9067954945033
"Hat_No","Hat_No","Hat","No",1,20,-0.053920783550478,0.0299600463919977,-0.112642474478793,0.00480090737783756,-5.24928383177983
"Hat_No","Hat_No","Hat","No",1,21,-0.0528712598111955,0.0311176390792159,-0.113861832406459,0.00811931278406761,-5.14978850362567
"Hat_No","Hat_No","Hat","No",1,22,-0.0474453979355312,0.021404799152581,-0.08939880427459,-0.00549199159647233,-4.63374563452754
