"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,15,-0.377519849343375,0.0964855966596046,-0.5666316187962,-0.188408079890551,-31.4440406458538
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,623,-0.376028915714948,0.100236434867063,-0.572492328054392,-0.179565503375503,-31.3417520268006
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,688,-0.379388407075451,0.102913240349881,-0.581098358161218,-0.177678455989683,-31.572021806454
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,696,-0.354568296057533,0.0950681715678667,-0.540901912330552,-0.168234679784515,-29.8523792103989
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,731,-0.383742749579589,0.104503309324198,-0.588569235855017,-0.178916263304161,-31.869332893464
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,883,-0.392366145543434,0.0969073908674961,-0.582304631643726,-0.202427659443141,-32.4543246801597
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,963,-0.36562947101768,0.0971414802129861,-0.556026772235133,-0.175232169800227,-30.6240188291097
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,987,-0.381624271941214,0.0922766770274641,-0.562486558915044,-0.200761984967384,-31.7248466072653
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,995,-0.386464739567732,0.0918119961508398,-0.566416252023378,-0.206513227112086,-32.0545317181919
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1001,-0.386492832767555,0.0938929635484057,-0.57052304132243,-0.202462624212679,-32.0564404969973
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1080,-0.368761453590918,0.105317904117419,-0.57518454566106,-0.162338361520776,-30.8409632826746
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1119,-0.377580061144109,0.0994741341250596,-0.572549364029226,-0.182610758258993,-31.4481683993466
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1140,-0.374288938215129,0.0987642159183744,-0.567866801415143,-0.180711075015115,-31.2221842276763
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1183,-0.384813075554487,0.09498013841319,-0.57097414684434,-0.198652004264635,-31.9422159049073
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1227,-0.370073161197364,0.0937757543663496,-0.553873639755409,-0.186272682639319,-30.9316202464782
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1362,-0.367501256946405,0.0930878670357901,-0.549953476336553,-0.185049037556256,-30.7537543580099
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1423,-0.375181769126349,0.101095769783947,-0.573329477902885,-0.177034060349813,-31.2835637827446
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1449,-0.376948930041961,0.0914378317244163,-0.556167080221817,-0.197730779862105,-31.4048895504369
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1525,-0.384621814317472,0.0940970510152035,-0.569052034307271,-0.200191594327673,-31.9291978440472
"Background_Aquamarine+Mouth_Bored","Background_Aquamarine","Background","Aquamarine",2,1555,-0.38257615874775,0.102393073000928,-0.58326658182957,-0.18188573566593,-31.7898059031408
