"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,1,-0.00308761715980748,0.0289554020517314,-0.059840205181201,0.053664970861586,-0.308285537206465
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,2,-0.0213092382311809,0.0298629634809229,-0.0798406466537898,0.037222170191428,-2.1083800555394
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,3,0.00268454476888922,0.0264241523381316,-0.0491067938138487,0.0544758833516271,0.26881513858501
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,4,-0.00537352364755849,0.0233595618939231,-0.0511582649596477,0.0404112176645307,-0.535911209452511
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,5,-0.00338414980350723,0.0321913142047217,-0.0664791256447618,0.0597108260377474,-0.337843002257865
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,6,-0.00242471930492385,0.0274286005265675,-0.0561847763369962,0.0513353377271485,-0.242178204755783
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,7,-0.0193386824488928,0.0312481263429106,-0.0805850100809974,0.0419076451832119,-1.91528897192714
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,8,-0.00255365132116233,0.0247485009572153,-0.0510607131973044,0.0459534105549797,-0.255039352730713
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,9,-0.0218054159877775,0.02626338655659,-0.0732816536386939,0.0296708216631389,-2.15693965182103
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,10,0.000589242853555365,0.0158413463390098,-0.0304597959709038,0.0316382816780145,0.0589416491228789
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,11,0.00784427679180737,0.0298867967961925,-0.0507338449287299,0.0664223985123446,0.787512373556987
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,12,0.009221803815204,0.0305665600555674,-0.0506886538937081,0.0691322615241161,0.926445565615985
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,13,0.00954538118034956,0.0301006634090902,-0.0494519191014673,0.0685426814621664,0.959108363131622
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,14,-0.000445117991976455,0.0198664430357507,-0.0393833463420478,0.0384931103580948,-0.0445018941659936
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,15,-0.008428431046724,0.026728251274255,-0.0608158035442637,0.0439589414508157,-0.83930114023002
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,16,0.0153555101365567,0.0338055727920965,-0.0509034125359524,0.0816144328090659,1.5474011756323
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,17,-0.0292750547589667,0.0338942742414572,-0.0957078322722227,0.0371577227542894,-2.88506915119393
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,18,0.0186746840497097,0.0284145780655566,-0.0370178889587812,0.0743672570582006,1.88501464952571
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,19,0.0202042757509044,0.0245213677429663,-0.0278576050253095,0.0682661565271182,2.04097637087908
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,20,0.00876014166276877,0.0278501566721103,-0.0458261654145674,0.063346448740105,0.879862399188336
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,21,-0.0241707492687525,0.0286228271594645,-0.0802714905013029,0.0319299919637978,-2.38809760819778
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,22,-0.00143051307261288,0.0270965806619349,-0.0545398111700053,0.0516787850247795,-0.142949037650564
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,23,-0.0203581735163356,0.0322209847096576,-0.0835113035472645,0.0427949565145932,-2.01523450322815
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,24,0.01358751212261,0.0205674109796858,-0.0267246133975741,0.0538996376427941,1.36802418783639
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,25,-0.00344651677862485,0.0258075182671396,-0.0540292525822185,0.0471362190249688,-0.344058435702599
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,26,-0.0288489603926959,0.0271994235376558,-0.0821598305265013,0.0244619097411095,-2.84368020910716
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,27,0.0107695341497566,0.0349989411618714,-0.0578283905275114,0.0793674588270246,1.08277343246075
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,28,0.0049550201501716,0.0278103157835799,-0.049553198785645,0.0594632390859882,0.496731656378602
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,29,-0.0142881572868169,0.031787016171882,-0.0765907089837056,0.0480143944100718,-1.41865659938434
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,30,-0.00122639768475643,0.0243677979119642,-0.0489872815922062,0.0465344862226933,-0.122564596644914
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,31,-0.0112663962149335,0.0193595314094889,-0.0492110777775318,0.0266782853476647,-1.1203168047062
"Background_Blue+Earring_No","Background_Blue","Background","Blue",2,32,0.0073171463390532,0.027302200825958,-0.0461951672798245,0.0608294599579309,0.734398206804809
