"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,1,0.00814671771416389,0.0395213101830414,-0.0693150502445972,0.085608485672925,0.817999251768664
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,2,0.00235162325441899,0.0406586243285154,-0.0773392804294711,0.0820425269383091,0.235439048912367
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,3,-0.00398272816739997,0.0334509826286585,-0.0695466541195706,0.0615811977847707,-0.397480762418478
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,4,0.000280667592779672,0.0344528454357402,-0.0672469094612712,0.0678082446468306,0.028070698361371
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,5,0.00311739288792374,0.0357332174616609,-0.0669197133369317,0.0731544991127792,0.312225701027935
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,6,0.00883193262868646,0.0402364897462149,-0.0700315872738948,0.0876954525312677,0.887104921922366
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,7,0.00201202450132162,0.037946967845907,-0.0723640324766561,0.0763880814792994,0.201404998082899
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,8,0.00485306401198967,0.0387158497774841,-0.0710300015518791,0.0807361295758585,0.486485920035729
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,9,-0.00176524546010582,0.0379547348573568,-0.0761565257805252,0.0726260348603135,-0.176368833071194
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,10,1.37746039924007e-05,0.0400732200404421,-0.0785297366752741,0.0785572858832589,0.00137746988626564
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,11,0.00381967928093751,0.0378138826727349,-0.070295530757623,0.077934889319498,0.382698355287325
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,12,0.00219999774637016,0.0367569863280354,-0.0698436954565792,0.0742436909493196,0.22024195170498
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,13,0.00408758521559388,0.0372021028870425,-0.0688285364430094,0.0770037068741971,0.40959507864855
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,14,-0.00141751814772484,0.0392755631199365,-0.0783976218628003,0.0755625855673506,-0.14165139434239
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,16,0.00734419254841835,0.0418331699075948,-0.0746488204704675,0.0893372055673042,0.737122727272799
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,17,0.00218061044128702,0.0410812410345188,-0.0783386219863699,0.0826998428689439,0.218298970133413
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,18,-0.00262015078180427,0.0387661725616041,-0.0786018490025483,0.0733615474389397,-0.261672118275402
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,20,-0.0027861871845212,0.0410602169978366,-0.0832642125002809,0.0776918381312385,-0.278230936728519
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,21,6.50720783757718e-05,0.0363017334613489,-0.071086325505868,0.0712164696626196,0.00650741956094159
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,22,0.00459923902129453,0.0388769724831178,-0.0715996270456163,0.0807981050882054,0.460983175435969
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,23,0.000192958460476364,0.0377015666595899,-0.0737021121923198,0.0740880291132725,0.0192977078157464
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,24,0.00228624285430729,0.0369666162647008,-0.0701683250245064,0.0747408107331209,0.228885830030356
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,25,0.00702381475135715,0.0376570645164969,-0.0667840317009769,0.0808316612036912,0.704853959185581
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,26,-0.00199028472484367,0.0380624146539928,-0.0765926174466696,0.0726120479969823,-0.198830542154416
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,27,-0.00558108745518156,0.043366364207396,-0.0905791613016777,0.0794169863913146,-0.556554211999416
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,28,0.00965739475107548,0.0331205462975411,-0.0552588759921051,0.0745736654942561,0.970417786749311
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,29,0.00332035980765875,0.0331513047748649,-0.0616561975510765,0.068296917166394,0.332587830839715
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,30,0.00436944064543297,0.0352285790822087,-0.0646785743556962,0.0734174556465621,0.437900056997953
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,31,0.00464619162641839,0.0399589847129285,-0.0736734184109215,0.0829658016637583,0.465700191046592
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,32,-0.00320874944292502,0.0352447456663801,-0.07228845094903,0.06587095206318,-0.320360690827015
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,33,-0.0044443446228013,0.0393448821343666,-0.0815603136061598,0.0726716243605572,-0.443448313792638
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,34,-0.000617479906192522,0.0394187792221146,-0.0778782871815372,0.0766433273691521,-0.0617289304708168
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,35,0.00557460948574986,0.0429912354803725,-0.0786882120557803,0.08983743102728,0.559017653450544
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,36,-0.00127567960520772,0.0412599647558679,-0.0821452105267089,0.0795938513162934,-0.127486627186779
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,37,0.00579497805403568,0.0388997791889922,-0.070448589156389,0.0820385452644603,0.581180142067317
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,38,0.00688318921512502,0.0347367519565991,-0.0612008446198093,0.0749672230500593,0.690693280796228
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,39,0.00408566098358593,0.0372855131075019,-0.0689939447071178,0.0771652666742896,0.409401867477688
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,40,0.00770527655385028,0.041926720682807,-0.0744710959844515,0.089881649092152,0.773503858969948
"Background_Blue+Hat_No","Background_Blue","Background","Blue",2,41,0.00413493416925674,0.0379577081935732,-0.0702621738901467,0.0785320422286602,0.414349480470322
