"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,1,-0.0242260897633493,0.0408365504780066,-0.104265728700242,0.0558135491735437,-2.39349934968577
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,2,-0.0305100912815588,0.041490661122062,-0.1118317870808,0.0508116045176828,-3.0049356027223
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,3,-0.0524687847033549,0.0363120704565513,-0.123640442798195,0.0187028733914856,-5.11160597128099
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,4,-0.0381328628691067,0.039765142869887,-0.116072542894085,0.0398068171558718,-3.74149594154645
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,5,-0.0281730608379188,0.0344500568680315,-0.0956951722992605,0.039349050623423,-2.77799009835923
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,6,-0.0286711440737904,0.039599010853999,-0.106285205347629,0.0489429172000477,-2.82640269389699
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,7,-0.0295183217048999,0.0418865458783425,-0.111615951626451,0.0525793082166515,-2.90869113048616
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,8,-0.0256596331810879,0.0472014888601981,-0.118174551347076,0.0668552849849005,-2.5333222611691
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,9,-0.0435776806425002,0.0466292409295293,-0.134970992864378,0.0478156315793772,-4.26418169963512
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,10,-0.0439957266679579,0.0393193078216643,-0.12106156999842,0.0330701166625042,-4.30419531362064
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,11,-0.0206294172582164,0.0443305389022072,-0.107517273506543,0.0662584389901097,-2.0418086534699
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,12,-0.0272819326754953,0.0445072640377891,-0.114516170189562,0.0599523048385713,-2.69131421340326
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,13,-0.0267380630581296,0.0343413600831003,-0.0940471288210062,0.0405710027047471,-2.63837658141821
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,14,-0.0468475323584232,0.0437440811441437,-0.132585931400945,0.0388908666840985,-4.57671238641566
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,15,-0.0250385776919936,0.0409315313470051,-0.105264379132124,0.0551872237481365,-2.47277124513143
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,16,-0.0278986623297057,0.0382359492623325,-0.102841122883877,0.0470437982244661,-2.75130886339862
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,17,-0.0257655245667589,0.0472580933135021,-0.118391387461223,0.0668603383277052,-2.54364259630468
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,18,-0.0438570616668718,0.0356390043732499,-0.113709510238442,0.025995386904698,-4.29092473469871
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,19,-0.0226715272697363,0.0457275153600327,-0.1122974573754,0.0669544028359277,-2.2416459424178
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,21,-0.0302945371567458,0.0438999822075933,-0.116338502283629,0.055749427970137,-2.98402566297405
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,22,-0.0240770849219514,0.0458527681719028,-0.113948510538881,0.065794340694978,-2.37895442493177
"Background_Gray+Hat_No","Background_Gray","Background","Gray",2,23,-0.0284182115748602,0.0376061647205736,-0.102126294427185,0.0452898712774641,-2.80182122450513
