"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,1,-0.0360176579981791,0.0369595626075189,-0.108458400708916,0.0364230847125581,-3.53767399830338
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,2,-0.029375562164936,0.0367205812729126,-0.101347901459845,0.0425967771299727,-2.89482943047604
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,3,-0.0429954465335024,0.0440510280524316,-0.129335461516268,0.0433445684492635,-4.20842481056163
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,4,-0.055331217064553,0.0375142009880079,-0.128859051001049,0.0181966168719425,-5.38282921676404
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,5,-0.0280822256440592,0.0397208187359739,-0.105935030366568,0.0497705790784496,-2.76915851713928
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,6,-0.0267824549301,0.0367622340618091,-0.0988364336912458,0.0452715238310458,-2.64269855020899
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,7,-0.0382920634691422,0.0359892528229863,-0.108830999002195,0.032246872063911,-3.75681913338803
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,8,-0.0365605146653892,0.0310550610674458,-0.097428434357583,0.0243074050268045,-3.59002500427607
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,9,-0.0516517176479165,0.0432490959793524,-0.136419945767447,0.0331165104716142,-5.03404410827016
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,10,-0.0520605760265598,0.0353955785257268,-0.121435909936984,0.0173147578838648,-5.07286379860377
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,11,-0.0379492437564842,0.0330430875986891,-0.102713695449915,0.0268152079369465,-3.72381941762471
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,12,-0.0406542612502696,0.0305180166429963,-0.100469573870542,0.019161051370003,-3.98389625555229
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,13,-0.0310932789653016,0.036144284893049,-0.101936077355678,0.0397495194250744,-3.06148543847602
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,14,-0.0516935700607143,0.0374516909665021,-0.125098884355058,0.0217117442336299,-5.03801857948669
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,15,-0.0364960659604675,0.0358960707570714,-0.106852364644327,0.0338602327233924,-3.5838113060158
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,16,-0.0358856087905174,0.0347500368897851,-0.103995681094496,0.0322244635134614,-3.52493538354217
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,17,-0.0352769077996204,0.0339509504424375,-0.101820770666798,0.0312669550675572,-3.46619303966558
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,18,-0.0398903082383484,0.0363639219144584,-0.111163595190687,0.03138297871399,-3.91051643810636
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,19,-0.0399804419006844,0.0310374301822906,-0.100813805057974,0.0208529212566051,-3.9191769448643
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,20,-0.0504201518781628,0.0430699219158844,-0.134837198833296,0.0339968950769707,-4.9170152381187
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,21,-0.0390932320745194,0.0360205560466302,-0.109693521925915,0.0315070577768758,-3.83389526876732
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,22,-0.0370258850602826,0.033493484434872,-0.102673114552632,0.0286213444320665,-3.63488091429567
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,23,-0.0367717388663787,0.0364709211386818,-0.108254744298195,0.0347112665654376,-3.61038697366589
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,24,-0.0316034854652337,0.0348782334885462,-0.0999648231027842,0.0367578521723168,-3.11093148377961
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,25,-0.027361455424857,0.0390371492938211,-0.103874268040746,0.0491513571910324,-2.69905215995832
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,26,-0.050668014181352,0.0427010209850848,-0.134362015312118,0.0330259869494143,-4.9405798052113
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,27,-0.0538985946488898,0.0401753464652165,-0.132642273720714,0.0248450844229345,-5.24718139413806
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,28,-0.0320870574984889,0.0402763073067967,-0.11102861981981,0.0468545048228326,-3.15777300110552
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,29,-0.0264969243773231,0.0413318536293409,-0.107507357490831,0.054513508736185,-2.61489609707314
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,30,-0.0303654338861698,0.0402941697298767,-0.109342006556728,0.0486111387843886,-2.99090353444426
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,31,-0.0401274358159027,0.0311150458312118,-0.101112925645078,0.0208580540132725,-3.93329920325413
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,32,-0.0544650693203848,0.0355556274420642,-0.124154099106831,0.0152239604660611,-5.30084126601695
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,33,-0.0545147313085353,0.0368536506961646,-0.126747886673018,0.0177184240559474,-5.30554409773891
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,34,-0.0460336220629341,0.0426666163565647,-0.129660190121801,0.0375929459959327,-4.49901477504385
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,35,-0.0367634700028156,0.0323615349062125,-0.100192078418992,0.0266651384133609,-3.6095899378116
"Background_New.Punk.Blue+Hat_No","Background_New.Punk.Blue","Background","New.Punk.Blue",2,36,-0.052529304972394,0.041361850325748,-0.13359853161086,0.0285399216660722,-5.11734846864579
