"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,31,-0.255149425421931,0.122449341004109,-0.495150133789985,-0.0151487170538761,-22.5199285612868
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,80,-0.258940901780387,0.132191214637791,-0.518035682470457,0.00015387890968277,-22.8131362241918
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,199,-0.248435682372854,0.124999329203389,-0.493434367611498,-0.00343699713421147,-21.9979971740866
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,217,-0.27030186013841,0.11559050738341,-0.496859254609893,-0.0437444656669264,-23.685090472707
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,328,-0.2642011836008,0.124794351024751,-0.508798111609313,-0.0196042555922882,-23.218094848456
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,651,-0.262910577625428,0.111911106835146,-0.482256347022315,-0.0435648082285411,-23.1189356889289
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,668,-0.273507940231877,0.133741396362822,-0.535641077103008,-0.0113748033607456,-23.9293703852498
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,752,-0.243220229540492,0.128999176012702,-0.496058614525388,0.009618155444404,-21.5901186965942
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,819,-0.23313813315677,0.114557409577924,-0.457670655929501,-0.00860561038403843,-20.7955841592342
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,977,-0.241504411714848,0.142080025936906,-0.519981262551183,0.0369724391214882,-21.4554661379521
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1002,-0.260721141478794,0.131898644701552,-0.519242485093836,-0.00219979786375241,-22.9504251034659
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1045,-0.261346453748052,0.127087747836083,-0.510438439506775,-0.0122544679893289,-22.9985900873427
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1047,-0.232900948430241,0.122217804341799,-0.472447844940166,0.00664594807968436,-20.7767958534616
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1052,-0.260662799918444,0.113779673599946,-0.483670960174337,-0.0376546396625502,-22.9459297799112
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1100,-0.216899769041011,0.135769030621716,-0.483007069059574,0.0492075309775527,-19.4989347748859
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1165,-0.270414566665162,0.114556578513769,-0.494945460552149,-0.0458836727781751,-23.6936911764124
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1285,-0.268557191122491,0.110778832686367,-0.48568370318777,-0.0514306790572114,-23.5518300006961
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1325,-0.25583745451249,0.131087862520294,-0.512769665052265,0.00109475602728604,-22.5732187696662
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1328,-0.254753464287557,0.11574510936786,-0.481613878648563,-0.0278930499265511,-22.4892433896418
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1366,-0.263016138953748,0.12783102648492,-0.513564950864191,-0.0124673270433045,-23.1270509278649
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1428,-0.263194051225381,0.122934409871914,-0.504145494574333,-0.0222426078764293,-23.1407263523125
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1547,-0.270235876481035,0.135739021281582,-0.536284358192936,-0.00418739476913382,-23.680054769729
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1567,-0.268746195424621,0.127485195187171,-0.518617177991476,-0.0188752128577666,-23.5662776683373
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1686,-0.269586609010882,0.10729696698122,-0.479888664294073,-0.0592845537276919,-23.6304866222155
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1703,-0.275285894775021,0.120478011591023,-0.511422797493426,-0.0391489920566157,-24.0645003437145
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1722,-0.261386554862714,0.118638882741941,-0.493918765036918,-0.0288543446885109,-23.0016778677986
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1736,-0.257208701540943,0.122095539542207,-0.49651595904367,-0.0179014440382166,-22.679317253111
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1817,-0.260457570240456,0.118862822644069,-0.493428702622831,-0.0274864378580814,-22.9301143750526
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1881,-0.252450625614678,0.123311169569092,-0.494140517970098,-0.0107607332592588,-22.3105429415757
"Background_Orange+Hat_No","Background_Orange","Background","Orange",2,1904,-0.259201623002086,0.120874525323831,-0.496115692636795,-0.0222875533673773,-22.8332578544325
