"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,37,0.754217812343083,0.103683321966151,0.550998501289427,0.957437123396739,112.594798256837
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,279,0.750848892000739,0.10803628884202,0.539097765870379,0.962600018131099,111.879788398199
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,287,0.757220384274892,0.110347377461541,0.540939524450271,0.973501244099514,113.234088708424
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,539,0.755519310439231,0.105725927670679,0.5482964922047,0.962742128673763,112.871670117036
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,627,0.75333921209296,0.113013826935504,0.531832111299372,0.974846312886549,112.408094444932
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,634,0.753433830286784,0.107507881535377,0.542718382477446,0.964149278096122,112.428193066014
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,661,0.755898045163477,0.0953735392465336,0.568965908240271,0.942830182086683,112.9523072794
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,667,0.756113913530013,0.0932386145815968,0.573366228950084,0.938861598109943,112.998281908178
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,726,0.757035311837145,0.0994884772421506,0.56203789644253,0.95203272723176,113.194628607417
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,882,0.763648599207836,0.0987916096531135,0.570017044287733,0.957280154127938,114.609218340841
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,926,0.760612728391002,0.0976347418672894,0.569248634331115,0.951976822450889,113.958680451994
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,999,0.758033460030881,0.113326295518182,0.535913920815245,0.980152999246517,113.407534679105
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1046,0.768790891378017,0.0990496508564865,0.574653575699303,0.96292820705673,115.715643987819
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1057,0.751920662997986,0.101590848097799,0.552802600726299,0.951038725269672,112.106996746217
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1214,0.750697588761332,0.113503196360832,0.528231323894101,0.973163853628563,111.847732724974
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1216,0.753549516370518,0.109351301885009,0.539220964675899,0.967878068065136,112.452769473291
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1299,0.756773868821101,0.107257585890679,0.546549000475371,0.966998737166831,113.138897646262
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1383,0.755082122938467,0.105097310886483,0.549091393600961,0.961072852275973,112.77862562402
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1425,0.762444347567958,0.0991103534517119,0.568188054802602,0.956700640333313,114.35093039078
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1469,0.761372531458456,0.0982135568990505,0.568873959936317,0.953871102980595,114.121308688602
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1583,0.752814180248828,0.115095864839914,0.527226285162596,0.97840207533506,112.296602702315
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1605,0.755922196962599,0.104769915004576,0.550573163553631,0.961271230371567,112.957450522857
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1616,0.751333922653492,0.105722645709306,0.544117537063252,0.958550308243733,111.982581517163
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1681,0.754458469789604,0.106285035421399,0.546139800363661,0.962777139215546,112.645966934943
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1752,0.75211246882644,0.102323228289541,0.551558941378941,0.95266599627394,112.14768400635
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1783,0.771513734099818,0.115475481951386,0.545181789475102,0.997845678724535,116.303804129432
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1923,0.753114548313071,0.109624057262952,0.538251396077685,0.967977700548458,112.360379399676
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1988,0.754709958813914,0.11411118504987,0.531052036116169,0.978367881511658,112.699451786836
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,1998,0.752939753676845,0.103712378428942,0.549663491956118,0.956216015397572,112.323263188362
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,2003,0.751215823116576,0.0899376598220003,0.574938009865456,0.927493636367697,111.957547950707
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,2013,0.758555413499907,0.10042879585497,0.561714973624165,0.955395853375649,113.518952557091
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,2080,0.757905198993827,0.093120194995231,0.575389616803175,0.94042078118448,113.380164562689
"Background_Orange+Mouth_Bored","Background_Orange","Background","Orange",2,2109,0.750399015332543,0.110153824224429,0.534497519852663,0.966300510812424,111.784490062793
