"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,1,-0.0885517124494545,0.046224959800834,-0.179152633659089,0.00204920876018014,-8.47442206060316
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,3,-0.0810214772610836,0.0483128079317083,-0.175714580807232,0.0136716262850646,-7.78261145373829
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,6,-0.0919223519576524,0.0474686972260239,-0.184960998520659,0.00111629460535445,-8.78240245259205
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,7,-0.0895053689549102,0.0504213581875501,-0.188331231002508,0.00932049309268808,-8.56166441718824
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,8,-0.0826221746273024,0.0499427958471938,-0.180510054487802,0.0152657052331974,-7.9301055065401
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,9,-0.0864088833465021,0.0486627979832014,-0.181787967393577,0.00897020070057264,-8.27808810860277
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,10,-0.0865135074077157,0.0474544758339774,-0.179524280042311,0.00649726522687992,-8.2876839255417
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,11,-0.0886736416708049,0.047753044554623,-0.182269608997866,0.00492232565625621,-8.48558102273934
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,12,-0.088368673556023,0.0460387351283183,-0.178604594407527,0.00186724729548091,-8.45766778680135
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,14,-0.0857076444997841,0.0454041240548966,-0.174699727647381,0.00328443864781328,-8.21374658413766
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,15,-0.0897807561801385,0.0477669127447596,-0.183403905159867,0.00384239279959039,-8.58684189976623
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,16,-0.0833324207007031,0.048229455058645,-0.177862152615647,0.0111973112142412,-7.99547457077395
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,19,-0.0865392180261652,0.0504211710499743,-0.185364713284115,0.0122862772317845,-8.2900418755951
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,20,-0.0847357138470005,0.049130645466439,-0.181031778961221,0.01156035126722,-8.12449334398472
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,21,-0.0917585556519421,0.054306394612984,-0.198199089093391,0.0146819777895065,-8.76746012338226
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,22,-0.0843559239345886,0.0519537560231573,-0.186185285739977,0.0174734378707996,-8.08959332644122
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,24,-0.0885531038782354,0.0443662302115726,-0.175510915092918,-0.00159529266355317,-8.47454941183788
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,25,-0.0878002852371899,0.0492903307524594,-0.18440933351201,0.00880876303763058,-8.40562140461599
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,26,-0.0850011929771112,0.0498584378229137,-0.182723731110022,0.0127213451557997,-8.14888113620207
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,27,-0.0855583088935214,0.0464223662562268,-0.176546146755726,0.00542952896868301,-8.20003860481799
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,29,-0.0855362282759408,0.0529347516847867,-0.189288341578123,0.0182158850262412,-8.19801158259764
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,30,-0.0825756814979816,0.0493832298967378,-0.179366812095588,0.0142154490996245,-7.92582478951767
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,31,-0.085180714921506,0.0496921258675888,-0.18257728162198,0.0122158517789681,-8.16536894764907
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,32,-0.0875481672544591,0.0481303113460775,-0.181883577492771,0.00678724298385286,-8.3825259033818
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,33,-0.0887889926069053,0.0479245257989808,-0.182721063172908,0.00514307795909702,-8.49613668782042
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,34,-0.0886513954054336,0.0452441264799455,-0.177329883306127,2.70924952595758e-05,-8.48354514604424
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,35,-0.0877845881118717,0.0491571836785778,-0.184132668121884,0.0085634918981408,-8.40418362489227
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,37,-0.0888937293999254,0.046741075545752,-0.180506237469599,0.00271877866974861,-8.50572000714086
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,38,-0.0848584241877358,0.0501740587129158,-0.183199579265051,0.0134827308895791,-8.13576672701722
"Background_Purple+Mouth_Bored.Unshaven","Background_Purple","Background","Purple",2,39,-0.0822949865646941,0.0494257128699524,-0.179169383789801,0.0145794106604126,-7.89997640746425
