"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Yellow+Clothes_No",2,2,0.00357953779350629,0.0463754593650468,-0.0873163625619854,0.094475438148998,0.358595198991662
"Background_Yellow+Clothes_No",2,3,0.00552245089305584,0.0441399607527208,-0.0809918721822769,0.0920367739683886,0.553772773391015
"Background_Yellow+Clothes_No",2,5,-0.000292105873286975,0.0474858081363803,-0.0933642898205923,0.0927800780740183,-0.0292063214520133
"Background_Yellow+Clothes_No",2,6,0.00213058620098025,0.0473982476693744,-0.0907699792309935,0.095031151632954,0.213285751254877
"Background_Yellow+Clothes_No",2,7,0.0048079019600257,0.050428560145028,-0.0940320759242291,0.103647879844281,0.481947846612063
"Background_Yellow+Clothes_No",2,8,0.00397906854824555,0.0467967704122135,-0.0877426014596929,0.095700738556184,0.398699555204463
"Background_Yellow+Clothes_No",2,10,0.00713124832765128,0.0471577145764931,-0.0852978722422752,0.0995603688975777,0.71567362298377
"Background_Yellow+Clothes_No",2,12,0.00245038307873805,0.0439492542620758,-0.0836901552749305,0.0885909214324066,0.245338772102799
"Background_Yellow+Clothes_No",2,13,0.00217930482882661,0.0438091177408989,-0.0836865659433352,0.0880451756009884,0.218168123958939
"Background_Yellow+Clothes_No",2,15,0.00960216982360002,0.0405690928373322,-0.069913252137571,0.0891175917847711,0.964841856716459
"Background_Yellow+Clothes_No",2,17,0.00188604504810139,0.0447611603444487,-0.0858458292270182,0.0896179193232209,0.188782474975313
"Background_Yellow+Clothes_No",2,18,0.00158594034281663,0.048063791069307,-0.0926190901530251,0.0957909708386584,0.158719861129386
"Background_Yellow+Clothes_No",2,19,0.00541293075256693,0.0450168560366505,-0.082820107079268,0.0936459685844018,0.542760713102397
"Background_Yellow+Clothes_No",2,20,0.00214924082693582,0.0417945073753069,-0.0797679936286657,0.0840664752825373,0.215155210053308
"Background_Yellow+Clothes_No",2,21,0.00939972915428203,0.0450753963381855,-0.0789480476685615,0.0977475059771256,0.944404535295695
"Background_Yellow+Clothes_No",2,24,0.00290626020293285,0.0479221553013213,-0.0910211641876569,0.0968336845935226,0.291048747130507
"Background_Yellow+Clothes_No",2,25,-2.69513052187004e-05,0.0457378509042264,-0.0896731390775025,0.0896192364670651,-0.00269509420355307
"Background_Yellow+Clothes_No",2,26,0.00663939105746137,0.0488713736564731,-0.089148501309226,0.102427283424149,0.666148067440964
"Background_Yellow+Clothes_No",2,28,0.00204324043793706,0.0457687449977037,-0.0876634997575621,0.0917499806334363,0.204532927610468
"Background_Yellow+Clothes_No",2,29,0.00461392580315257,0.0435492080809916,-0.0807425220355909,0.089970373641896,0.462458634815976
"Background_Yellow+Clothes_No",2,30,0.00332761618573358,0.0450797599011796,-0.0850287132205783,0.0916839455920455,0.333315884671759
"Background_Yellow+Clothes_No",2,31,0.00579966338790686,0.0487027014195451,-0.0896576313944016,0.101256958170215,0.58165139958144
"Background_Yellow+Clothes_No",2,32,0.0026244554159387,0.0496726109039119,-0.0947338619557286,0.099982772787606,0.262790231380405
"Background_Yellow+Clothes_No",2,33,0.00703660298892126,0.0460874441098247,-0.0832947874663352,0.0973679934441777,0.706141805016491
"Background_Yellow+Clothes_No",2,34,0.00268962919261974,0.0444485642526895,-0.0844295567426516,0.0898088151278911,0.269324949024163
"Background_Yellow+Clothes_No",2,35,0.00608130433213838,0.0430892672209393,-0.0783736594209027,0.0905362680851795,0.609983300378358
"Background_Yellow+Clothes_No",2,36,0.0114500345837201,0.0491462629119973,-0.0848766407237945,0.107776709891235,1.1515837137055
"Background_Yellow+Clothes_No",2,37,0.00736035226005569,0.0456499700906264,-0.0821135891175721,0.0968342936376835,0.738750623280371
"Background_Yellow+Clothes_No",2,40,0.00909246933772261,0.0488277996564522,-0.0866100179889236,0.104794956664369,0.913393140597196
"Background_Yellow+Clothes_No",2,42,0.00370804800405891,0.0499619580256836,-0.0942173897262809,0.101633485734399,0.371493131931722
"Background_Yellow+Clothes_No",2,44,0.00437474985876705,0.0479145799392373,-0.0895378268221381,0.0982873265396722,0.438433304651742
"Background_Yellow+Clothes_No",2,45,-0.00010796396852822,0.0490147928160675,-0.0961769578880205,0.0959610299509641,-0.0107958140628694
"Background_Yellow+Clothes_No",2,46,0.00587933704747227,0.0488110518991416,-0.0897903246748453,0.10154899876979,0.589665427082786
"Background_Yellow+Clothes_No",2,49,0.00275967524298905,0.0453805176352687,-0.0861861393221376,0.0917054898081157,0.276348665198967
"Background_Yellow+Clothes_No",2,53,0.00647082416557501,0.0497876278761333,-0.0911129264716462,0.104054574802796,0.649180517866799
"Background_Yellow+Clothes_No",2,54,0.00178123026846673,0.0435365870715491,-0.0835504803917694,0.0871129409287029,0.178281760143006
"Background_Yellow+Clothes_No",2,56,0.00720357824000911,0.0495152393071663,-0.0898462908020368,0.104253447282055,0.722958642289218
"Background_Yellow+Clothes_No",2,57,0.00617543356375261,0.0488782090136813,-0.0896258561030627,0.101976723230568,0.619454086531057
"Background_Yellow+Clothes_No",2,58,0.00277686016566284,0.0464018890405895,-0.0881708423538926,0.0937245626852183,0.278071921303757
"Background_Yellow+Clothes_No",2,59,0.00381347146756576,0.0439676511099218,-0.0823631247078809,0.0899900676430124,0.3820752001644
"Background_Yellow+Clothes_No",2,61,0.00638879071715732,0.0503568554422595,-0.0923106459496713,0.105088227383986,0.640924257157893
"Background_Yellow+Clothes_No",2,62,0.00567633846080847,0.047368378564487,-0.087165683525586,0.098518360447203,0.56924793959876
"Background_Yellow+Clothes_No",2,63,0.00653868620819692,0.0481866625696781,-0.0879071724283722,0.100984544844766,0.65601100860786
"Background_Yellow+Clothes_No",2,64,0.0052813588187526,0.0476008197640063,-0.0880162479186997,0.098578965556205,0.529532977862779
"Background_Yellow+Clothes_No",2,65,0.00751807255395612,0.048526290028411,-0.0875934559017293,0.102629601009642,0.754640421674746
"Background_Yellow+Clothes_No",2,67,0.00149067819090609,0.0467570757290616,-0.0901531902380547,0.0931345466198669,0.149178980392439
"Background_Yellow+Clothes_No",2,69,0.00343506393622113,0.0480043958652139,-0.0906535519595981,0.0975236798320404,0.344097052958303
"Background_Yellow+Clothes_No",2,70,0.00623848085454155,0.0472978552340919,-0.0864653154042785,0.0989422771133616,0.625798070495276
"Background_Yellow+Clothes_No",2,71,0.00910010813340596,0.0468565544998402,-0.0827387386862809,0.100938954953093,0.914164000333328
"Background_Yellow+Clothes_No",2,73,0.00310284657116163,0.0497921427116404,-0.0944897531436535,0.100695446285977,0.310766538230522
"Background_Yellow+Clothes_No",2,78,0.00253770495741396,0.0467017668065631,-0.0889977579834498,0.0940731678982777,0.254092765614899
"Background_Yellow+Clothes_No",2,79,0.00453572947243734,0.0417353391045372,-0.0772655351724556,0.0863369941173303,0.454603146315291
"Background_Yellow+Clothes_No",2,80,0.00385695312861512,0.0489645206616902,-0.0921135073682977,0.099827413625528,0.386440074428984
"Background_Yellow+Clothes_No",2,81,0.00284152747062698,0.0477473178172406,-0.0907432154511645,0.0964262703924185,0.284556843640882
"Background_Yellow+Clothes_No",2,82,0.00680905249829394,0.0468519930735568,-0.0850208539258774,0.0986389589224652,0.683228680084857
"Background_Yellow+Clothes_No",2,83,0.00485336661492891,0.0468651741384054,-0.0870023746963456,0.0967091079262034,0.486516327546327
"Background_Yellow+Clothes_No",2,85,0.00451473594650709,0.0462150193986265,-0.0860667020748009,0.0950961739678151,0.452494272135739
"Background_Yellow+Clothes_No",2,86,0.0019325719485305,0.0446753160940861,-0.0856310475958783,0.0894961914929393,0.193444056925274
"Background_Yellow+Clothes_No",2,89,0.00392858569105721,0.0486662233883844,-0.0914572121501762,0.0993143835322907,0.393631269924755
"Background_Yellow+Clothes_No",2,91,0.000280753470208098,0.0466679557908348,-0.0911884398798281,0.0917499468202443,0.0280792885152259
"Background_Yellow+Clothes_No",2,92,0.000690269338093772,0.0484814298830503,-0.0943333332326848,0.0957138719088724,0.0690507628798409
"Background_Yellow+Clothes_No",2,93,0.00127335100289908,0.0476928034697013,-0.0922045437977154,0.0947512458035136,0.127416205850372
"Background_Yellow+Clothes_No",2,94,0.00767775070344405,0.0513713198740657,-0.0930100362497248,0.108365537656613,0.770730020754118
"Background_Yellow+Clothes_No",2,97,0.00737156706180504,0.0504178773785121,-0.0914474726000786,0.106190606723689,0.739880394732162
"Background_Yellow+Clothes_No",2,99,0.00352499948675052,0.0443816919945989,-0.0834631168226633,0.0905131157961643,0.353121960393055
"Background_Yellow+Clothes_No",2,100,0.00353406699340849,0.0397291389885339,-0.074335045424118,0.081403179410935,0.35403191712009
"Background_Yellow+Clothes_No",2,104,0.00379569020319152,0.0483888402223111,-0.0910464366325382,0.0986378170389212,0.380290295815788
"Background_Yellow+Clothes_No",2,106,0.00302322942621832,0.0448348415981809,-0.0848530601062162,0.0908995189586529,0.302780399312685
"Background_Yellow+Clothes_No",2,107,0.00509605348170203,0.0489253032476814,-0.0907975408837534,0.100989647847157,0.510906044759141
"Background_Yellow+Clothes_No",2,108,0.00317877254202299,0.046817442692342,-0.0885834151349673,0.0949409602190133,0.318383019708501
"Background_Yellow+Clothes_No",2,109,0.00315938438806846,0.0465629802126222,-0.0881040568286711,0.094422825604808,0.316438050308787
"Background_Yellow+Clothes_No",2,110,0.00267033220110726,0.0487970530674923,-0.0929718918111776,0.0983125562133922,0.267390071380391
"Background_Yellow+Clothes_No",2,111,0.00780252953905046,0.0466946003175691,-0.083718887083385,0.0993239461614859,0.783304859629874
"Background_Yellow+Clothes_No",2,112,0.00899397275786059,0.049221496137466,-0.0874801596715728,0.105468105187294,0.903454006003979
"Background_Yellow+Clothes_No",2,113,0.00473551506636256,0.045864448430039,-0.0851588038565139,0.094629833989239,0.474674533787667
"Background_Yellow+Clothes_No",2,114,0.00494040231659382,0.048257966590236,-0.0896452122002688,0.0995260168334564,0.49526262261721
"Background_Yellow+Clothes_No",2,116,0.00543111280802146,0.0477309905926559,-0.0881216287535842,0.0989838543696271,0.544588803772394
"Background_Yellow+Clothes_No",2,118,0.00349170763035084,0.0465109026812226,-0.0876696616248454,0.0946530768855471,0.349781074279942
