"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Yellow+Hat_No",2,73,-0.286416507446423,0.108627532023807,-0.499326470213085,-0.0735065446797602,-24.9050225371983
"Background_Yellow+Hat_No",2,285,-0.290122633221985,0.112290860656102,-0.510212720107944,-0.0700325463360256,-25.1828188767318
"Background_Yellow+Hat_No",2,426,-0.284658868164705,0.109488351998073,-0.499256038080927,-0.0700616982484823,-24.7729165916599
"Background_Yellow+Hat_No",2,525,-0.281203435765051,0.100504868389911,-0.478192977809277,-0.084213893720825,-24.5125248664072
"Background_Yellow+Hat_No",2,699,-0.282759074865029,0.114535629224496,-0.507248908145042,-0.058269241585016,-24.6298648412935
"Background_Yellow+Hat_No",2,729,-0.288164948639356,0.114849090839877,-0.513269166685515,-0.063060730593197,-25.0362069716224
"Background_Yellow+Hat_No",2,730,-0.289428523273392,0.122947177365692,-0.530404990910149,-0.0484520556366358,-25.1308694997845
"Background_Yellow+Hat_No",2,816,-0.262999262957497,0.110100614031336,-0.478796466458915,-0.0472020594560792,-23.1257536093179
"Background_Yellow+Hat_No",2,877,-0.28859097448463,0.115207828609704,-0.514398318559651,-0.0627836304096096,-25.0681366829882
"Background_Yellow+Hat_No",2,887,-0.255085613954189,0.09816567260021,-0.447490332250601,-0.0626808956577775,-22.5149842864585
"Background_Yellow+Hat_No",2,938,-0.278430038126358,0.110053433347683,-0.494134767487816,-0.0627253087649002,-24.3028774977415
"Background_Yellow+Hat_No",2,1054,-0.291227247089874,0.100747560576775,-0.488692465820353,-0.093762028359394,-25.2654173444517
"Background_Yellow+Hat_No",2,1088,-0.283629114549275,0.111761392237954,-0.502681443335665,-0.0645767857628844,-24.6954113317299
"Background_Yellow+Hat_No",2,1105,-0.292468231747945,0.110860489992211,-0.509754792132678,-0.0751816713632115,-25.3581042915198
"Background_Yellow+Hat_No",2,1286,-0.282285476854398,0.114702176616641,-0.507101743023014,-0.0574692106857824,-24.5941612413117
"Background_Yellow+Hat_No",2,1334,-0.282608408015155,0.111311958272525,-0.500779846229304,-0.0644369698010051,-24.6185082049417
"Background_Yellow+Hat_No",2,1341,-0.285917175883045,0.117715843338366,-0.516640228826242,-0.0551941229398478,-24.8675158813507
"Background_Yellow+Hat_No",2,1588,-0.290957769530185,0.114033931972495,-0.514464276196276,-0.0674512628640941,-25.2452753377059
"Background_Yellow+Hat_No",2,1655,-0.296213196470428,0.11775798828286,-0.527018853504833,-0.0654075394360227,-25.6371127931838
"Background_Yellow+Hat_No",2,1715,-0.284790527327396,0.11072246907274,-0.501806566709967,-0.0677744879448258,-24.7828202745035
"Background_Yellow+Hat_No",2,1716,-0.262182408865437,0.110531265467096,-0.478823689180944,-0.045541128549929,-23.062932912401
"Background_Yellow+Hat_No",2,1781,-0.286066180831447,0.115773798522429,-0.512982825935409,-0.0591495357274857,-24.878710159248
"Background_Yellow+Hat_No",2,1824,-0.289902598466525,0.105646755876755,-0.496970239984965,-0.0828349569480842,-25.1663546852983
"Background_Yellow+Hat_No",2,1832,-0.293084035499904,0.107793262596705,-0.504358830189447,-0.0818092408103618,-25.4040549012194
"Background_Yellow+Hat_No",2,1834,-0.29626958218966,0.114950666038395,-0.521572887624914,-0.0709662767544045,-25.6413056798525
"Background_Yellow+Hat_No",2,1837,-0.289565324321049,0.110880364781453,-0.506890839292696,-0.0722398093494017,-25.1411109747358
"Background_Yellow+Hat_No",2,1838,-0.275404872489684,0.110405073118556,-0.491798815802053,-0.0590109291773152,-24.0735344384868
"Background_Yellow+Hat_No",2,1898,-0.294187907636104,0.116553712115764,-0.522633183383002,-0.0657426318892064,-25.4863538543699
