"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,1,-0.0402411647633778,0.0585301935733978,-0.154960344167237,0.0744780146404819,-3.9442241467702
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,2,-0.0369572402005034,0.0617293237209526,-0.157946714693571,0.0840322342925637,-3.62826571716138
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,3,-0.0361654880161409,0.0632904465137743,-0.160214763183138,0.0878837871508567,-3.55193297171074
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,4,-0.0374477129114446,0.0617643125370141,-0.158505765483992,0.083610339661103,-3.67552183306822
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,5,-0.0434814328673465,0.0606902456286898,-0.162434314299579,0.0754714485648855,-4.25496689667616
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,6,-0.0365176289394084,0.0604789259324435,-0.155056323766998,0.0820210658881808,-3.58589030384739
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,7,-0.036507984149789,0.0623013588164972,-0.158618647430123,0.0856026791305454,-3.58496040555871
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,8,-0.0401616029939708,0.0609044092006068,-0.15953424502716,0.0792110390392185,-3.93658147525335
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,9,-0.0421630962696194,0.0573369484711998,-0.154543515273171,0.0702173227339323,-4.12865947593143
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,10,-0.0401370324501746,0.0618586033940864,-0.161379895102584,0.0811058302022348,-3.93422111582374
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,11,-0.0410671380886171,0.0638948940771132,-0.166301130479759,0.0841668543025248,-4.02353089822073
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,12,-0.0384070027432794,0.063349893189501,-0.162572793394701,0.0857587879081425,-3.76788061902575
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,13,-0.0409045699221754,0.0590089778388637,-0.156562166486348,0.0747530266419975,-4.0079269112959
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,14,-0.0413088895193378,0.0648388194480916,-0.168392975637597,0.0857751965989216,-4.04673054255501
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,15,-0.0374963830484708,0.0585448075514618,-0.152244205849336,0.0772514397523943,-3.68020984453556
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,16,-0.038272604315039,0.0600115220523782,-0.1558951875377,0.0793499789076223,-3.7549463042784
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,17,-0.0375539323334196,0.0632924792141308,-0.161607191593116,0.0864993269262766,-3.68575282008677
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,18,-0.0352885370498966,0.0681376797294084,-0.168838389319537,0.0982613152197439,-3.46731564893927
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,19,-0.0416311284458348,0.0646341753180505,-0.168314112069214,0.0850518551775441,-4.07764543983968
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,20,-0.0385202605954703,0.0647419003111431,-0.165414385205311,0.0883738640143702,-3.77877904500081
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,21,-0.0372763113458417,0.0633318903483805,-0.161406816428668,0.0868541937369841,-3.6590102516895
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,22,-0.0369344176063309,0.0569620365675687,-0.148580009278766,0.0747111740661038,-3.62606623908135
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,23,-0.0387703190376899,0.0565722909965676,-0.149652009390963,0.0721113713155827,-3.80283696555287
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,24,-0.0402566674392286,0.0611106964959045,-0.160033632571201,0.0795202976927442,-3.94571325678423
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,27,-0.0436591217892707,0.0672127675788069,-0.175396146243732,0.0880779026651907,-4.27197821698154
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,28,-0.0383176604600424,0.0645608259035795,-0.164856879231058,0.0882215583109735,-3.7592826376836
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,29,-0.0316650943703257,0.0656674744440857,-0.160373344280734,0.0970431555400822,-3.11690052933121
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,30,-0.0445050307765408,0.0599553960043036,-0.162017606944976,0.0730075453918942,-4.35292117092865
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,31,-0.0341921256192745,0.059713820952881,-0.151231214686921,0.0828469634483722,-3.36141806733711
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,32,-0.0377194532867477,0.0651358239206025,-0.165385668171129,0.0899467615976333,-3.70169352680219
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,34,-0.0377180293045131,0.0541316151529113,-0.143815995004219,0.0683799363951929,-3.70155639962692
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,36,-0.0373480785746775,0.0573611884852156,-0.1497760080057,0.0750798508563451,-3.66592412944914
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,37,-0.0387130935650986,0.0628265036091118,-0.161853040638958,0.0844268535087605,-3.79733187992221
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,38,-0.0372918974655617,0.062085725135938,-0.158979918732,0.0843961238008769,-3.6605118221878
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,39,-0.0365855880929231,0.0556599302558743,-0.145679051394437,0.0725078752085906,-3.59244230249256
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,40,-0.0374584119781724,0.0599575937984675,-0.154975295823169,0.0800584718668238,-3.67655240957453
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,41,-0.0400279010254282,0.0621612545256581,-0.161863959895718,0.0818081578448617,-3.92373674842817
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,42,-0.0377324572452495,0.0627483980109279,-0.160719317346668,0.0852544028561691,-3.70294577784124
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,43,-0.0430971094356307,0.0646718738117723,-0.169853982106705,0.083659763235443,-4.21816276509208
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,44,-0.0346329587277633,0.0647275870302751,-0.161499029307103,0.092233111851576,-3.40401016511724
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,45,-0.0474648518815299,0.0615095587001224,-0.16802358693377,0.07309388317071,-4.63560086644423
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,47,-0.0361923534208222,0.0559807227294713,-0.145914569970586,0.0735298631289415,-3.5545240532568
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,48,-0.0421728021267781,0.0634441085116588,-0.166523254809629,0.0821776505560731,-4.12958998495248
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,49,-0.0353662448617398,0.061526128255813,-0.155957456243133,0.0852249665196536,-3.47481670116259
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,50,-0.0395859302499987,0.0587016178681082,-0.154641101271491,0.0754692407714934,-3.88126446279536
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,51,-0.0387873633162944,0.0601772799788635,-0.156734832074867,0.0791601054422781,-3.80447656282766
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,52,-0.0376415154493055,0.0582869330081295,-0.151883904145239,0.0766008732466283,-3.694187952566
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,53,-0.0367408792885867,0.0614760938099322,-0.157234023156054,0.0837522645788804,-3.60741238500732
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,54,-0.0353468888912028,0.0624271425448004,-0.157704088279012,0.087010310496606,-3.4729483444767
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,55,-0.042549068881508,0.0594179359745527,-0.159008223391631,0.0739100856286152,-4.16565604734782
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,56,-0.0380488639771514,0.0595141843766387,-0.154696665355363,0.0785989374010604,-3.7334099942637
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,57,-0.0386085774311608,0.0647783599747834,-0.165574162981736,0.0883570081194147,-3.78727662351669
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,58,-0.0371021706839448,0.05917753966806,-0.153090148433342,0.0788858070654528,-3.6422319071133
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,60,-0.0360211461064909,0.0629761157070681,-0.159454332892344,0.0874120406793625,-3.53801046875767
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,61,-0.037276702520649,0.0594762190249489,-0.153850091809549,0.0792966867682509,-3.65904793785022
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,62,-0.0381616301502863,0.0578037628518391,-0.151457005339891,0.0751337450393183,-3.74426499716932
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,63,-0.0376836099068184,0.0610513134551149,-0.157344184278844,0.0819769644652067,-3.69824180815645
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,65,-0.0413768263567242,0.0578401619932708,-0.154743543863535,0.0719898911500865,-4.05324908279182
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,67,-0.0359458211509341,0.0595328210869578,-0.152630150481371,0.0807385081795032,-3.53074420002106
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,69,-0.0422225475131111,0.061585583130163,-0.162930290448231,0.0784851954220084,-4.13435897691792
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,70,-0.041498844190931,0.0629679403288752,-0.164916007235526,0.0819183188536645,-4.06495558332247
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,72,-0.0364013125619596,0.0634442638449709,-0.160752069698103,0.0879494445741834,-3.57467511162998
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,75,-0.0427138734956418,0.0591440644096498,-0.158636239738555,0.0732084927472718,-4.18144868803792
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,76,-0.0369046260458288,0.0600067153700423,-0.154517788171112,0.0807085360794542,-3.62319506643474
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,77,-0.037041557495724,0.0628672414011996,-0.160261350642075,0.0861782356506273,-3.63639117856855
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,78,-0.0366776783815331,0.0593097644499903,-0.152924816703514,0.0795694599404479,-3.60132009351967
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,79,-0.04118210490469,0.0552159031529007,-0.149405275084375,0.0670410652749953,-4.0345643730374
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,80,-0.0364294898709975,0.0599702892883075,-0.15397125687608,0.0811122771340852,-3.57739207952983
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,81,-0.0374823243317875,0.058287524860096,-0.151725873057576,0.0767612243940006,-3.67885570237606
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,82,-0.0342658240399265,0.0632562998087373,-0.158248171665052,0.0897165235851985,-3.36853991576188
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,83,-0.0361987504844135,0.0609546401143584,-0.155669845108556,0.083272344139729,-3.55514101912614
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,84,-0.0363093998207785,0.0590593235597411,-0.152065673997871,0.079446874356314,-3.56581198838947
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,85,-0.0385686993447006,0.0637582953964154,-0.163534958321675,0.0863975596322735,-3.78343976771258
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,86,-0.0426600393480788,0.0571364105024677,-0.154647403932916,0.069327325236758,-4.17629023915822
"Clothes_Navy.Striped.Tee+Earring_No","Clothes_Navy.Striped.Tee","Clothes","Navy.Striped.Tee",2,87,-0.0390967259354807,0.0631202017593588,-0.162812321383824,0.0846188695128626,-3.83423125917948
