"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,1,-0.0685377306198252,0.0276983405897339,-0.122826478175704,-0.0142489830639468,-6.624177183785
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,2,-0.0536108907559386,0.0318584542648881,-0.116053461115119,0.00883167960324214,-5.21991671746831
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,3,-0.058355938782841,0.0379082650560668,-0.132656138292732,0.0159442607270499,-5.66858744073654
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,4,-0.0669841009158506,0.0225911106249289,-0.111262677740711,-0.02270552409099,-6.47899297978208
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,5,-0.0583326811712107,0.0375841074484719,-0.131997531770216,0.0153321694277942,-5.66639349186578
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,6,-0.0550001998672111,0.0376952295533882,-0.128882849791852,0.0188824500574297,-5.35150412178441
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,7,-0.0565321965894066,0.030912052480939,-0.117119819452047,0.00405542627323394,-5.49639429325841
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,8,-0.0757833557698899,0.0266116819059466,-0.127942252305545,-0.0236244592342346,-7.29829823055927
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,9,-0.0824056305343073,0.0359563482172275,-0.152880073040073,-0.0119311880285413,-7.91016615594848
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,10,-0.0268820333934168,0.0333501097060207,-0.0922482484172174,0.0384841816303838,-2.65239275800486
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,11,0.361560008488873,0.0411610531698561,0.280884344275955,0.442235672701791,43.5567165615907
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,12,-0.065754729402133,0.015297633082954,-0.0957380902447229,-0.0357713685595431,-6.36395021715883
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,13,-0.0435296439183593,0.0195755548842342,-0.0818977314914584,-0.00516155634526029,-4.25958275408277
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,14,-0.031805557309005,0.0329661399141933,-0.0964191915408239,0.0328080769228139,-3.13050805849208
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,15,-0.0943793066654928,0.0373897202135766,-0.167663158284103,-0.0210954550468826,-9.00624486039081
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,16,0.323785392803507,0.0696715690651097,0.187229117435892,0.460341668171123,38.2350612894657
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,17,-0.0734237042404611,0.0219845610342646,-0.11651344386762,-0.0303339646133024,-7.0792962356183
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,18,-0.0503232319488586,0.0375724248105094,-0.123965184577457,0.0233187206797397,-4.90779935536341
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,19,0.377221180639418,0.0561289279207872,0.267208481914675,0.487233879364161,45.8226805242189
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,20,-0.0280337980877625,0.0396742583242811,-0.105795344403354,0.0497277482278285,-2.76444975107349
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,21,-0.0665037620528203,0.018900359821682,-0.103548467303317,-0.0294590568023236,-6.43406041503595
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,22,-0.073327961546954,0.0205443271184627,-0.113594842699141,-0.0330610803947672,-7.07039933125733
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,23,-0.0517867160113431,0.0312483858996513,-0.11303355237466,0.00946012035197346,-5.04686349157943
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,24,0.389596443111394,0.0640889341379208,0.263982132201069,0.515210754021719,47.6384868361945
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,25,0.339991020601394,0.057383940212206,0.22751849778547,0.452463543417318,40.4934975035797
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,26,-0.0512659560059631,0.0248689342958512,-0.100009067225832,-0.00252284478609466,-4.99740281824799
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,27,0.321430676348561,0.0504104647888746,0.222626165362366,0.420235187334755,37.9099398506225
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,28,-0.0662872008869985,0.031596714709595,-0.128216761717805,-0.00435764005619235,-6.41379547185755
"Clothes_No+Earring_No","Clothes_No","Clothes","No",2,29,-0.0329423303336896,0.0418805570115908,-0.115028222076408,0.0491435614090284,-3.24056411761479
