"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,56,-0.490967538536009,0.11281570506255,-0.712086320458607,-0.26984875661341,-38.7966058803367
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,60,-0.483405252888913,0.129172810243445,-0.736583960966064,-0.230226544811761,-38.3320138567311
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,102,-0.480654556417458,0.112844936506043,-0.701830631969303,-0.259478480865613,-38.1621504305852
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,262,-0.48686366627563,0.11401789561708,-0.710338741685107,-0.263388590866152,-38.5449188765492
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,419,-0.473290024455569,0.121756078512981,-0.711931938341012,-0.234648110570126,-37.7050625577478
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,491,-0.485490831895677,0.113982343976158,-0.708896226088946,-0.262085437702407,-38.4604932904461
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,528,-0.4862157643678,0.119016883145878,-0.719488855333722,-0.252942673401879,-38.5050891107462
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,553,-0.482261366950193,0.128318865005328,-0.733766342360635,-0.23075639153975,-38.2614323536143
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,581,-0.479460423725797,0.111641470370253,-0.698277705651493,-0.260643141800101,-38.0882637263477
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,594,-0.469778899936373,0.126377755605617,-0.717479300923381,-0.222078498949364,-37.4859528398196
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,706,-0.483376899586565,0.116511538500387,-0.711739515047323,-0.255014284125807,-38.3302653408868
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,748,-0.473887615540837,0.118692569184081,-0.706525051141635,-0.241250179940039,-37.7422783360045
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,766,-0.480048672688843,0.112845839763156,-0.701226518624628,-0.258870826753058,-38.1246725312403
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,778,-0.47785682314864,0.113603812344331,-0.70052029534353,-0.255193350953751,-37.9889023836659
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,786,-0.47604774541836,0.11870192673294,-0.708703521814922,-0.243391969021797,-37.8766179529297
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,807,-0.468946285307624,0.121883475132231,-0.707837896566797,-0.230054674048451,-37.433881054795
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,863,-0.475881750412697,0.119787956131036,-0.710666144429528,-0.241097356395865,-37.8663049258432
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1018,-0.330071790079058,0.121792826269437,-0.568785729567155,-0.091357850590961,-28.1127876307178
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1097,-0.48858033499106,0.116511843043437,-0.716943547356197,-0.260217122625923,-38.650326390941
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1101,-0.483661359587723,0.114136745264716,-0.707369380306567,-0.259953338868879,-38.3478054188358
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1130,-0.47920371264607,0.117620373692706,-0.709739645083773,-0.248667780208366,-38.072368257497
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1136,-0.477589323944174,0.109065129128677,-0.691356977036381,-0.263821670851967,-37.97231224556
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1189,-0.480378866098526,0.103852199851704,-0.683929177807866,-0.276828554389187,-38.1450999839018
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1225,-0.47849214411456,0.112381280114453,-0.698759453138888,-0.258224835090233,-38.0282868218969
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1311,-0.480330464080634,0.120399128644798,-0.716312756224438,-0.244348171936829,-38.1421060094678
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1389,-0.494498822390491,0.108464262694687,-0.707088777272079,-0.281908867508904,-39.0123512845051
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1453,-0.473661452307537,0.121500518876461,-0.711802469305401,-0.235520435309673,-37.7281963360197
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1465,-0.469811820706154,0.112200168683667,-0.689724151326141,-0.249899490086167,-37.488010816499
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1475,-0.48501093141813,0.116633888246952,-0.713613352382155,-0.256408510454104,-38.4309533642427
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1607,-0.486408776218437,0.120308258367855,-0.722212962619432,-0.250604589817441,-38.5169572119227
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1712,-0.485577109699115,0.124242243896646,-0.729091907736541,-0.24206231166169,-38.4658025548706
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1772,-0.501843452090894,0.120935029854055,-0.738876110604841,-0.264810793576947,-39.4586420541891
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1790,-0.490731619121729,0.10810567521573,-0.70261874254456,-0.278844495698899,-38.7821651080818
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1821,-0.488454802916673,0.111597180042835,-0.707185275800629,-0.269724330032717,-38.6426245557463
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1846,-0.486660945972357,0.110575132661415,-0.703388205988732,-0.269933685955983,-38.5324594210166
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1854,-0.475211276341807,0.118540721331084,-0.707551090150731,-0.242871462532882,-37.8246319255955
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1859,-0.481156828451541,0.119572181404286,-0.715518304003942,-0.24679535289914,-38.1932020542378
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1877,-0.498708465453691,0.108204918325498,-0.710790105371668,-0.286626825535714,-39.2685478903885
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1892,-0.48744660587646,0.111766171271347,-0.706508301568301,-0.268384910184619,-38.5807330372478
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1919,-0.491556341147629,0.113906455849643,-0.714812994612929,-0.268299687682328,-38.8326319914594
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1959,-0.475721596049097,0.10850863454498,-0.688398519757258,-0.263044672340936,-37.8563531465613
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1972,-0.464206319054584,0.121074098163403,-0.701511551454853,-0.226901086654314,-37.1366158053473
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,1975,-0.489250132045839,0.1054701565094,-0.695971638804263,-0.282528625287414,-38.6914044631143
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2075,-0.489727645752137,0.121610013239295,-0.728083271701156,-0.251372019803119,-38.7206731691368
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2111,-0.483258340937346,0.122035957091021,-0.722448816835748,-0.244067865038944,-38.3229534270112
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2247,-0.480716753243008,0.1076428801512,-0.691696798339359,-0.269736708146656,-38.1659964289215
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2274,-0.479180659153845,0.12911238931604,-0.732240942213284,-0.226120376094407,-38.0709405928638
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2294,-0.54921572916312,0.142617241261718,-0.828745522036087,-0.269685936290152,-42.2597527227134
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2388,-0.478010672382667,0.126645231464326,-0.726235326052746,-0.229786018712588,-37.9984420096844
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2397,-0.490699316773778,0.117092848156799,-0.720201299161104,-0.261197334386452,-38.7801875963394
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2503,-0.49134238106659,0.112731486547375,-0.712296094699446,-0.270388667433735,-38.8195432162556
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2626,-0.484499766964224,0.124179801312296,-0.727892177536325,-0.241107356392123,-38.3994734111106
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2707,-0.480485759403506,0.110530846597576,-0.697126218734754,-0.263845300072258,-38.1517115052237
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2720,-0.486064913806281,0.123236125127503,-0.727607719056187,-0.244522108556374,-38.495811869187
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2905,-0.483999513866155,0.117796439696729,-0.714880535671744,-0.253118492060566,-38.3686498476931
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2910,-0.478865271960014,0.117623838701998,-0.70940799581593,-0.248322548104098,-38.0514058802636
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2947,-0.486936515938667,0.118504759754197,-0.719205845056892,-0.254667186820442,-38.5493956954316
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,2962,-0.484192763700916,0.116686554127284,-0.712898409790392,-0.25548711761144,-38.3805589451735
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3029,-0.477413930377446,0.108826549743946,-0.69071396787558,-0.264113892879313,-37.9614320340372
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3060,-0.474765599360549,0.12381689202438,-0.717446707728334,-0.232084490992763,-37.7969156194424
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3073,-0.486676411451107,0.105548134510546,-0.693550755091778,-0.279802067810436,-38.5334100386083
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3110,-0.478531442135022,0.116221862861292,-0.706326293343154,-0.25073659092689,-38.0307221396975
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3266,-0.488568830736789,0.107239483879333,-0.698758219140281,-0.278379442333297,-38.6496206046366
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3450,-0.484573259927142,0.115260462209228,-0.710483765857228,-0.258662753997056,-38.4040004499721
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3460,-0.493895981806367,0.127692397757337,-0.744173081410748,-0.243618882201987,-38.9755743705347
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3507,-0.474583802404864,0.11022849933713,-0.690631661105638,-0.258535943704089,-37.7856062600954
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3591,-0.492711687581555,0.115139911172649,-0.718385913479946,-0.267037461683164,-38.9032606838004
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3669,-0.486247733659994,0.117039378282257,-0.715644915093218,-0.256850552226771,-38.5070550280962
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3720,-0.479633102568968,0.11107468716319,-0.69733948940882,-0.261926715729116,-38.0989536503578
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3744,-0.478176362763227,0.119668784509794,-0.712727180402423,-0.243625545124031,-38.0087142203964
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3768,-0.478893620234126,0.117211814368132,-0.708628776395664,-0.249158464072587,-38.0531619910991
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3809,-0.483938254476389,0.123075826242301,-0.725166873911298,-0.24270963504148,-38.3648742331476
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3821,-0.488964101249267,0.121002712432572,-0.726129417617107,-0.251798784881426,-38.6738658085181
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3914,-0.479299435333164,0.117938409601783,-0.710458718152659,-0.24814015251367,-38.0782958531055
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3915,-0.470769075083858,0.123888882548645,-0.713591284879201,-0.227946865288514,-37.5478220599493
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3918,-0.449417338619919,0.118622192774581,-0.681916836458097,-0.216917840781741,-36.2000218822843
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3950,-0.483662363740349,0.113547807996195,-0.70621606741289,-0.261108660067807,-38.3478673270178
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,3988,-0.489068191765821,0.118024068351698,-0.72039536573515,-0.257741017796492,-38.6802489452866
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4026,-0.483309351495485,0.116153529812941,-0.71097026992885,-0.25564843306212,-38.3260995273384
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4030,-0.477878835957096,0.121008737712517,-0.71505596187363,-0.240701710040563,-37.9902674070558
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4077,-0.487703651382037,0.120542705462588,-0.723967354088709,-0.251439948675366,-38.5965185548913
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4188,-0.478855091600412,0.110531653774736,-0.695497132998894,-0.262213050201931,-38.0507752180885
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4219,-0.488271988478704,0.111068530700849,-0.705966308652369,-0.270577668305039,-38.6314065162607
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4286,-0.469253728896685,0.118480174683153,-0.701474871275664,-0.237032586517706,-37.4531136503366
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4416,-0.473800041523451,0.112247612787025,-0.693805362586021,-0.253794720460881,-37.7368259384644
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4455,-0.489860204749015,0.12667024490076,-0.738133884754505,-0.241586524743525,-38.7287957568579
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4478,-0.488845042477802,0.125801945866112,-0.735416856375382,-0.242273228580222,-38.6665639596566
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4485,-0.484627884869043,0.119086322844406,-0.718037077644079,-0.251218692094007,-38.4073650359729
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4496,-0.49145372991101,0.118064996694502,-0.722861123432233,-0.260046336389787,-38.8263552101587
"Clothes_No+Eyes_Bored","Clothes_No","Clothes","No",2,4507,-0.494901709281975,0.121810553791982,-0.733650394714259,-0.256153023849691,-39.0369174596877
