"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,89,-0.135125782497454,0.184648560235348,-0.497036960558737,0.226785395563829,-12.639397957006
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,236,-0.138509255825862,0.183138869051911,-0.497461439167609,0.220442927515884,-12.9344807401027
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,620,-0.156449336365459,0.186138184317517,-0.521280177627793,0.208381504896875,-14.4825157128897
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,683,-0.136787169699238,0.19174922790328,-0.512615656389666,0.239041316991189,-12.7844172432304
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,856,-0.119471602476633,0.198426360110555,-0.508387268293321,0.269444063340055,-11.2610792883005
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,868,-0.134385055546809,0.167706557540551,-0.463089908326289,0.194319797232672,-12.5746636323785
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,988,-0.128065542939344,0.165580028425212,-0.452602398652759,0.19647131277407,-12.0204287142187
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1218,-0.122360715899613,0.176249434807151,-0.46780960812163,0.223088176322403,-11.5170861008367
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1232,-0.132353884096678,0.164238330030285,-0.454261010956037,0.18955324276268,-12.3969073194701
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1332,-0.149350838504424,0.181510730876473,-0.50511187102231,0.206410194013462,-13.873310370271
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1362,-0.134580879946372,0.146110635256677,-0.42095772504946,0.151795965156715,-12.5917819702306
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1403,-0.149125699121757,0.19492686482018,-0.53118235416931,0.232930955925797,-13.853917677589
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1524,-0.120416659473719,0.190303691728986,-0.493411895262532,0.252578576315094,-11.3449030108964
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1562,-0.145184647505677,0.18542733733298,-0.508622228678319,0.218252933666964,-13.5137416352606
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1666,-0.146111776769762,0.18304692402104,-0.504883747851002,0.212660194311477,-13.5938884173773
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1682,-0.138949513893013,0.188737435210725,-0.508874886906034,0.230975859120008,-12.9728036007343
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1738,-0.153094973839131,0.226511169759468,-0.597056866567688,0.290866918889426,-14.1951774192704
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1742,-0.139409948584221,0.181417159449543,-0.494987581105326,0.216167683936884,-13.0128647175633
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1755,-0.141651765038697,0.19251568030399,-0.518982498434516,0.235678968357123,-13.2076554846132
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1889,-0.119969450893288,0.182349245498724,-0.477373972070787,0.23743507028421,-11.3052468241914
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,1921,-0.147718744669517,0.181640923465691,-0.503734954662272,0.208297465323237,-13.7326287595387
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2160,-0.125780367943488,0.177328617893923,-0.473344459015578,0.221783723128602,-11.8191501069402
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2210,-0.141293153932429,0.191122899101336,-0.515894036171047,0.233307728306189,-13.1765252044324
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2245,-0.115497585974108,0.22233515755007,-0.551274494772245,0.32027932282403,-10.9077277054997
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2250,-0.119957138822134,0.183040811766615,-0.478717129884699,0.238802852240432,-11.3041548013567
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2266,-0.145173510592946,0.181896701318281,-0.501691045176778,0.211344023990885,-13.5127784399853
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2310,-0.12858061944296,0.197630043689609,-0.515935505074595,0.258774266188674,-12.0657332555323
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2321,-0.136557128133786,0.195978723139604,-0.52067542548741,0.247561169219839,-12.7643517261781
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2360,-0.102417292514897,0.217008886376229,-0.527754709812305,0.322920124782511,-9.73471971910591
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2491,-0.13277377501091,0.195820589941418,-0.51658213129609,0.251034581274271,-12.4336833406463
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2502,-0.143269014190753,0.182152471818236,-0.500287858954495,0.213749830572989,-13.3479068888845
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2532,-0.154155523166155,0.163527831110516,-0.474670072142766,0.166359025810456,-14.286129428043
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2545,-0.137218639485237,0.174835545663755,-0.479896308986198,0.205459030015723,-12.8220400149299
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2569,-0.148896199735167,0.17787368506449,-0.497528622461568,0.199736222991234,-13.8341449357097
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2598,-0.138246966815991,0.169766801905176,-0.470989898550136,0.194495964918155,-12.9116414161412
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2633,-0.134293297434084,0.189738331447378,-0.506180427070945,0.237593832202776,-12.5666412804568
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2726,-0.148545057880641,0.176869913451896,-0.495210088246356,0.198119972485075,-13.8038831847928
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2848,-0.136233989301545,0.184781146468633,-0.498405036380065,0.225937057776975,-12.7361579456579
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2859,-0.153725349099263,0.18422569104714,-0.514807703551658,0.207357005353132,-14.2492496119484
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2888,-0.127072784299563,0.162980115563067,-0.446513810803174,0.192368242204049,-11.9330428653494
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2897,-0.139094835857571,0.172149332009267,-0.476507526595735,0.198317854880594,-12.9854496449887
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2929,-0.131232125050304,0.183892255355819,-0.49166094554771,0.229196695447101,-12.2985826197652
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2965,-0.134900997125193,0.197082920958502,-0.521183522203857,0.25138152795347,-12.6197583642909
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,2983,-0.146352565281708,0.176439128834955,-0.492173257798219,0.199468127234803,-13.6146915117347
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3214,-0.116759197401185,0.191359851923294,-0.491824507170841,0.258306112368471,-11.0200566616442
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3221,-0.131108601726836,0.174700133528941,-0.473520863443561,0.211303659989889,-12.2877487801154
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3293,-0.126190307450253,0.193278541183443,-0.505016248169801,0.252635633269295,-11.8552915126503
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3331,-0.139870531101817,0.185462322629365,-0.503376683455373,0.223635621251739,-13.052920246184
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3341,-0.162123828994829,0.175609806776411,-0.506319050276594,0.182071392286936,-14.9664098219384
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3574,-0.135641292285358,0.182675149336554,-0.493684584985003,0.222402000414287,-12.6844215963758
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3638,-0.139597238983781,0.193406148279285,-0.518673289611179,0.239478811643616,-13.0291550473282
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3818,-0.154864956510172,0.196804151900022,-0.540601094234215,0.230871181213871,-14.3469161412614
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3831,-0.14965884834435,0.182285198565601,-0.506937837532929,0.207620140844229,-13.8998341531544
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3866,-0.114715696114072,0.175695642545206,-0.459079155502675,0.229647763274532,-10.8380401207274
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,3916,-0.124014381396727,0.179834818088128,-0.476490624849457,0.228461862056003,-11.663286326185
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,4150,-0.146717993486776,0.20240322585569,-0.543428316163928,0.249992329190376,-13.6462533728114
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,4233,-0.142502884925447,0.188988038380993,-0.512919440152192,0.227913670301299,-13.2814947475579
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,4540,-0.140228883067708,0.185628565394223,-0.504060871240386,0.22360310510497,-13.0840723211052
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,4601,-0.140102652452702,0.187055260122942,-0.506730962293667,0.226525657388264,-13.0731001776048
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,4866,-0.147101381857223,0.179629231715241,-0.499174676019095,0.204971912304649,-13.6793540494001
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,5223,-0.129491335291671,0.186249803114545,-0.494540949396179,0.235558278812837,-12.1457799304809
"Clothes_No+Fur_Dark.Brown","Clothes_No","Clothes","No",2,5256,-0.131594843046475,0.15622497155411,-0.437795787292529,0.17460610119958,-12.3303877336464
