"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_No+Hat_No",2,5,0.0711516056629582,0.274375617596716,-0.466624604826605,0.608927816152521,7.37439992002122
"Clothes_No+Hat_No",2,10,0.0736233991020458,0.279094504618292,-0.473401829949807,0.620648628153898,7.64013554375669
"Clothes_No+Hat_No",2,13,0.0938973563478441,0.271556614489843,-0.438353608052248,0.626148320747937,9.8446991519602
"Clothes_No+Hat_No",2,25,0.0766077028717219,0.295826443306461,-0.503212126008941,0.656427531752385,7.9618462084383
"Clothes_No+Hat_No",2,28,0.0634624908513916,0.250580072286075,-0.427674450829315,0.554599432532098,6.55195183219406
"Clothes_No+Hat_No",2,87,0.0777181308879705,0.293455695637366,-0.497455032561266,0.652891294337207,8.08179665299575
"Clothes_No+Hat_No",2,126,0.0371451766211744,0.299335070704343,-0.549551561959339,0.623841915201687,3.78436805406073
"Clothes_No+Hat_No",2,140,0.0560073762685779,0.304245394510241,-0.540313596971494,0.65232834950865,5.76054848899454
"Clothes_No+Hat_No",2,188,0.044430336395842,0.285555545209657,-0.515258532215086,0.60411920500677,4.54321456024811
"Clothes_No+Hat_No",2,232,0.0581489397770623,0.317454917130567,-0.564062697798849,0.680360577352974,5.9872841179941
"Clothes_No+Hat_No",2,250,0.0566663680924249,0.278688111887079,-0.48956233120625,0.6028950673911,5.83026679510819
"Clothes_No+Hat_No",2,251,0.0507222689170949,0.303066751615208,-0.543288564248712,0.644733102082902,5.20306710879583
"Clothes_No+Hat_No",2,255,0.0730888871249468,0.286131780853062,-0.487729403347055,0.633907177596948,7.58261597591041
"Clothes_No+Hat_No",2,265,0.0683889514658947,0.309379174826332,-0.537994231193716,0.674772134125505,7.07817096092156
"Clothes_No+Hat_No",2,288,0.081084573204912,0.272233287362982,-0.452492670026533,0.614661816436358,8.4462609166956
"Clothes_No+Hat_No",2,391,0.0731330635654569,0.286386322088841,-0.488184127728672,0.634450254859586,7.5873686979234
"Clothes_No+Hat_No",2,399,0.0639339193009162,0.309460318831246,-0.542608305608326,0.670476144210158,6.60219529580868
"Clothes_No+Hat_No",2,404,0.0485045512898229,0.296503454471177,-0.532642219473685,0.62965132205333,4.97001492990599
"Clothes_No+Hat_No",2,441,0.0820235641580168,0.233159151070294,-0.374968371939759,0.539015500255793,8.54813879831349
"Clothes_No+Hat_No",2,447,0.0505363099050649,0.28727289886788,-0.512518571875979,0.613591191686109,5.1835054692617
"Clothes_No+Hat_No",2,547,0.0572935620698093,0.310960469105807,-0.552188957377573,0.666776081517192,5.89666372076645
"Clothes_No+Hat_No",2,557,0.061251823067563,0.2815920736727,-0.490668641330928,0.613172287466054,6.3166610356896
"Clothes_No+Hat_No",2,560,0.0550263616885738,0.324035610821049,-0.580083435520683,0.69013615889783,5.65684672372626
"Clothes_No+Hat_No",2,570,0.0463975807330024,0.325779299466257,-0.592129846220861,0.684925007686866,4.7490790335478
"Clothes_No+Hat_No",2,642,0.0706480802794551,0.295599783843627,-0.508727496054054,0.650023656612964,7.32034779357396
"Clothes_No+Hat_No",2,681,0.0679597945715273,0.286175475631903,-0.492944137667002,0.628863726810057,7.03222748480232
"Clothes_No+Hat_No",2,751,0.048954682233015,0.304850955418772,-0.548553190387778,0.646462554853808,5.01727581772928
"Clothes_No+Hat_No",2,763,0.0297181973108312,0.307639272214642,-0.573254776229868,0.63269117085153,3.01641900065566
"Clothes_No+Hat_No",2,764,0.0646990645963733,0.316132428645386,-0.554920495548582,0.684318624741329,6.6837926769699
"Clothes_No+Hat_No",2,765,0.0399341390382961,0.29017984931385,-0.528818365616849,0.608686643693441,4.07422276511435
"Clothes_No+Hat_No",2,768,0.0682414315895575,0.312497229398706,-0.544253138031907,0.680736001211022,7.06237596744936
"Clothes_No+Hat_No",2,782,0.064885103829875,0.293851694698131,-0.511064217778461,0.640834425438211,6.70364189429593
"Clothes_No+Hat_No",2,783,0.0759236725892668,0.295849454319497,-0.503941257876947,0.65578860305548,7.88802228805903
"Clothes_No+Hat_No",2,788,0.0652155897444101,0.314992489350508,-0.552169689382585,0.682600868871405,6.73891177274959
"Clothes_No+Hat_No",2,813,0.042376617770085,0.34651315824612,-0.63678917239231,0.72154240793248,4.32873253156394
"Clothes_No+Hat_No",2,842,0.0334570456031933,0.308210921269578,-0.57063636008518,0.637550451291567,3.40230269369308
"Clothes_No+Hat_No",2,850,0.0531874922301276,0.305354774640723,-0.545307866065689,0.651682850525944,5.46273610195502
"Clothes_No+Hat_No",2,853,0.0517371736648025,0.319382942060379,-0.574253392773541,0.677727740103146,5.30989240065642
"Clothes_No+Hat_No",2,856,0.0751451166855771,0.309617540113091,-0.531705261936081,0.681995495307236,7.80405812100946
"Clothes_No+Hat_No",2,859,0.0554775311235651,0.318632635562614,-0.569042434579158,0.679997496826288,5.7045266186124
"Clothes_No+Hat_No",2,932,0.082247669293293,0.295153883250847,-0.496253941878367,0.660749280464953,8.57246771965914
"Clothes_No+Hat_No",2,935,0.0587950108901589,0.296907890833545,-0.52314445514359,0.640734476923908,6.0557815653467
"Clothes_No+Hat_No",2,998,0.0358972202680559,0.335330838358719,-0.621351222915034,0.693145663451145,3.65493047561622
"Clothes_No+Hat_No",2,1013,0.0686696516928423,0.288735131083831,-0.497251205231466,0.634590508617151,7.10823204669082
"Clothes_No+Hat_No",2,1021,0.0839106001552068,0.316322779058776,-0.536082046799994,0.703903247110407,8.75316643007433
"Clothes_No+Hat_No",2,1028,0.0938646616655206,0.317105929379518,-0.527662959918334,0.715392283249376,9.84110787312469
"Clothes_No+Hat_No",2,1031,0.0468220172600123,0.280063750210208,-0.502102933151996,0.595746967672021,4.79354780527823
"Clothes_No+Hat_No",2,1077,0.057954307211718,0.276491053149111,-0.483968156960539,0.599876771383975,5.96665754835852
"Clothes_No+Hat_No",2,1111,0.0516615928170014,0.310344091121425,-0.556612825780991,0.659936011414993,5.30193329048889
"Clothes_No+Hat_No",2,1115,0.0614148252386528,0.302198944744529,-0.530895106460623,0.653724756937929,6.33399229473948
"Clothes_No+Hat_No",2,1117,0.0566745290352772,0.296144133488398,-0.523767972601983,0.637117030672538,5.83113047339174
"Clothes_No+Hat_No",2,1125,0.056355788572403,0.325714947578063,-0.582045508680601,0.694757085825407,5.79740318528941
"Clothes_No+Hat_No",2,1135,0.0470545713705886,0.28621498102508,-0.513926791438569,0.608035934179746,4.81792080949353
"Clothes_No+Hat_No",2,1178,0.0704112989355194,0.293038648231353,-0.503944451597932,0.644767049468971,7.29493934563368
"Clothes_No+Hat_No",2,1195,0.0720783002023238,0.300135680712791,-0.516187633994746,0.660344234399393,7.47394930890821
"Clothes_No+Hat_No",2,1207,0.0448004674248006,0.305407080946396,-0.553797411230136,0.643398346079738,4.58191640975978
"Clothes_No+Hat_No",2,1235,0.0286663092294089,0.320372656077425,-0.599264096682344,0.656596715141162,2.90811422955333
"Clothes_No+Hat_No",2,1237,0.0673918158243035,0.312965763973974,-0.546021081564685,0.680804713213292,6.97145271534547
"Clothes_No+Hat_No",2,1238,0.0563291176878541,0.332565736997335,-0.595499726826922,0.70815796220263,5.79458151259191
"Clothes_No+Hat_No",2,1255,0.0889040336037975,0.281505107878029,-0.46284597783714,0.640654045044735,9.2975762348213
"Clothes_No+Hat_No",2,1261,0.0474618823372032,0.325010841967633,-0.589559367919357,0.684483132593763,4.86062299408065
"Clothes_No+Hat_No",2,1277,0.0559496397762496,0.276878792563072,-0.486732793647371,0.59863207319987,5.75444242217122
"Clothes_No+Hat_No",2,1278,0.0535618387903877,0.321580122961424,-0.576735202214003,0.683858879794778,5.50222310490116
"Clothes_No+Hat_No",2,1291,0.0547910079746522,0.323075466404695,-0.57843690617855,0.688018922127854,5.63198291845781
"Clothes_No+Hat_No",2,1316,0.0653786216546543,0.287823601554469,-0.498755637392104,0.629512880701413,6.75631504003869
"Clothes_No+Hat_No",2,1326,0.0517190059700302,0.339673161428436,-0.614040390429704,0.717478402369765,5.30797918005426
"Clothes_No+Hat_No",2,1362,0.0519116728713293,0.300823336647847,-0.53770206695845,0.641525412701109,5.32827049675473
"Clothes_No+Hat_No",2,1363,0.0654314727296071,0.326259654758175,-0.574037450596415,0.704900396055629,6.761957375147
"Clothes_No+Hat_No",2,1364,0.0537030206654109,0.300019689113648,-0.534335569997339,0.641741611328161,5.51711915807984
"Clothes_No+Hat_No",2,1373,0.0638790702969397,0.265162410648076,-0.455839254573289,0.583597395167169,6.59634843192378
"Clothes_No+Hat_No",2,1379,0.0871257455674012,0.281873581396566,-0.465346473969869,0.639597965104671,9.10338637652071
"Clothes_No+Hat_No",2,1466,0.0546442874278298,0.302267645377374,-0.537800297511823,0.647088872367483,5.61648567307205
"Clothes_No+Hat_No",2,1485,0.0350202586718123,0.30718148337335,-0.567055448739953,0.637095966083578,3.56406892919439
"Clothes_No+Hat_No",2,1498,0.0718286642281005,0.270659923535005,-0.458664785900509,0.60232211435671,7.44712329337742
"Clothes_No+Hat_No",2,1546,0.0588812494320753,0.296962714542848,-0.523165671071907,0.640928169936058,6.06492805569503
"Clothes_No+Hat_No",2,1603,0.0687798219672736,0.295039352485899,-0.509497308905088,0.647056952839636,7.12003284004565
"Clothes_No+Hat_No",2,1604,0.0604082255810595,0.304650036120213,-0.536705845214558,0.657522296376677,6.22701038751388
"Clothes_No+Hat_No",2,1714,0.0692507080217732,0.322234773313997,-0.562329447673661,0.700830863717208,7.17048604759123
"Clothes_No+Hat_No",2,1877,0.0450617700446011,0.323584747379661,-0.589164334819534,0.679287874908736,4.60924750918983
"Clothes_No+Hat_No",2,1886,0.0609838660056857,0.343868965444649,-0.612999306265827,0.734967038277198,6.28817655204956
"Clothes_No+Hat_No",2,1889,0.0358230005617012,0.28885129708719,-0.53032554172919,0.601971542852593,3.64723752260201
"Clothes_No+Hat_No",2,1931,0.0457342126026176,0.329038870457329,-0.599181973493748,0.690650398698983,4.67961487553146
"Clothes_No+Hat_No",2,1934,0.0409783263414159,0.308138684888243,-0.56297349603954,0.644930148722371,4.18295250433507
