"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Clothes_Striped.Tee+Earring_No",2,1,-0.109013821192331,0.0281806021224164,-0.164247801352268,-0.0537798410323952,-10.3281976299685
"Clothes_Striped.Tee+Earring_No",2,2,-0.121261404527255,0.0356065841140685,-0.19105030939083,-0.0514724996636812,-11.419762342572
"Clothes_Striped.Tee+Earring_No",2,3,-0.122738249718251,0.033802250283485,-0.188990660273882,-0.0564858391626208,-11.550485088185
"Clothes_Striped.Tee+Earring_No",2,4,-0.107704727792518,0.0268737243783614,-0.160377227574107,-0.05503222801093,-10.2107319953684
"Clothes_Striped.Tee+Earring_No",2,5,-0.122344456068712,0.0425268271498294,-0.205697037282377,-0.0389918748550461,-11.5156473719223
"Clothes_Striped.Tee+Earring_No",2,6,-0.119479943274335,0.0378645883936918,-0.193694536525971,-0.0452653500226989,-11.2618194385997
"Clothes_Striped.Tee+Earring_No",2,7,-0.108369661326131,0.0264642735248201,-0.160239637434779,-0.056499685217484,-10.2704160454611
"Clothes_Striped.Tee+Earring_No",2,8,-0.110093446581594,0.0264661595807368,-0.161967119359838,-0.0582197738033503,-10.4249573429883
"Clothes_Striped.Tee+Earring_No",2,9,-0.108808071729192,0.0245734212111526,-0.156971977303051,-0.0606441661553324,-10.3097458066108
"Clothes_Striped.Tee+Earring_No",2,10,-0.107035710708268,0.0263722150866782,-0.158725252278157,-0.0553461691383788,-10.1506413424956
"Clothes_Striped.Tee+Earring_No",2,11,-0.1067712814302,0.026737519165115,-0.159176818993826,-0.0543657438665751,-10.1268793999128
"Clothes_Striped.Tee+Earring_No",2,12,-0.109241204251878,0.0234077605681711,-0.155120414965493,-0.0633619935382624,-10.3485851607691
"Clothes_Striped.Tee+Earring_No",2,13,-0.126310139284905,0.0353825932958361,-0.195660022144744,-0.0569602564250665,-11.8658534219442
"Clothes_Striped.Tee+Earring_No",2,14,-0.108863706507943,0.0259214368051577,-0.159669722646052,-0.0580576903698341,-10.3147355652557
"Clothes_Striped.Tee+Earring_No",2,15,-0.109705505089946,0.0273995659067704,-0.163408654267216,-0.0560023559126763,-10.3902007259944
"Clothes_Striped.Tee+Earring_No",2,16,-0.109954947566374,0.0244493472970097,-0.157875668268513,-0.062034226864235,-10.4125504286391
"Clothes_Striped.Tee+Earring_No",2,17,-0.105503366811697,0.0245335622111846,-0.153589148745618,-0.0574175848777747,-10.0128556856017
"Clothes_Striped.Tee+Earring_No",2,18,-0.123232029365793,0.0327815867684196,-0.187483939431896,-0.058980119299691,-11.594148877451
"Clothes_Striped.Tee+Earring_No",2,19,-0.1095275812633,0.0268673739859869,-0.162187634275834,-0.0568675282507654,-10.3742555891348
"Clothes_Striped.Tee+Earring_No",2,20,-0.120333060457733,0.0323813318381532,-0.183800470860513,-0.0568656500549525,-11.3374912222211
"Clothes_Striped.Tee+Earring_No",2,21,-0.109316073584469,0.0249530828874359,-0.158224116043844,-0.0604080311250949,-10.3552970511035
"Clothes_Striped.Tee+Earring_No",2,22,-0.110296003606552,0.0253121924135549,-0.15990790073712,-0.0606841064759848,-10.4430995596606
"Clothes_Striped.Tee+Earring_No",2,23,-0.106149609648051,0.027020861905965,-0.159110498983742,-0.0531887203123594,-10.0709904463693
"Clothes_Striped.Tee+Earring_No",2,24,-0.122990017122127,0.0316919985474777,-0.185106334275183,-0.0608736999690708,-11.5727509898966
"Clothes_Striped.Tee+Earring_No",2,25,-0.122267126123541,0.035846852188412,-0.192526956412829,-0.0520072958342536,-11.5088046172136
"Clothes_Striped.Tee+Earring_No",2,26,-0.121906934256919,0.0293387524217445,-0.179410889003538,-0.0644029795103001,-11.4769250673365
"Clothes_Striped.Tee+Earring_No",2,27,-0.106741454352623,0.0267201167447265,-0.159112883172287,-0.0543700255329594,-10.1241987073941
