"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,1,-0.0460678754732578,0.0389977317038586,-0.122503429612821,0.0303676786663051,-4.50228595345226
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,2,-0.0434805264249904,0.0372434425844711,-0.116477673890554,0.029516621040573,-4.25488010928343
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,6,-0.0458409562744893,0.0432198726530104,-0.13055190667439,0.038869994125411,-4.48061322981105
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,8,-0.0475722589304129,0.0401511432397092,-0.126268499680243,0.0311239818194171,-4.64584312506843
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,9,-0.0442088767870735,0.0385049188534599,-0.119678517739855,0.0312607641657079,-4.32459071207037
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,10,-0.0407781181877582,0.0397392985261055,-0.118667143298925,0.0371109069234087,-3.99578777967258
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,12,-0.047346349770541,0.0377448043959191,-0.121326166386542,0.0266334668454604,-4.62429931421804
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,13,-0.042617010540871,0.0471355077212634,-0.135002605674547,0.0497685845928053,-4.17216697051596
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,14,-0.046314303764871,0.0396695485372692,-0.124066618897919,0.0314380113681767,-4.52581639257568
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,15,-0.0456200074063951,0.0340426481924361,-0.11234359786357,0.0211035830507796,-4.45950599769948
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,18,-0.0405930465019535,0.0420699072623563,-0.123050064736172,0.0418639717322648,-3.97801847402566
"Earring_No+Eyes_Closed","Earring_No","Earring","No",2,19,-0.0472959100582203,0.0403901522909817,-0.126460608548544,0.0318687884321038,-4.61948846998529
