"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,422,-0.0172989626486689,0.0997871246624735,-0.212881726987117,0.178283801689779,-1.71501946734138
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,454,-0.00148009638332396,0.089683302072751,-0.177259368445916,0.174299175679268,-0.147900158087633
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,464,-0.0336374541843194,0.109404100692083,-0.248069491540802,0.180794583172163,-3.30780053774312
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,494,-0.0330643305278711,0.103241846758056,-0.235418350173661,0.169289689117918,-3.2523680675246
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,668,-0.0299388823641019,0.0968159250537472,-0.219698095469446,0.159820330741243,-2.94951533021922
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,775,-0.0347650329745284,0.099783519802234,-0.230340731786907,0.16081066583785,-3.41676716526107
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,812,-0.00542657764256495,0.104769101930238,-0.210774017425832,0.199920862140702,-0.541188036742901
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,922,-0.0271984521017915,0.103873232151012,-0.230789987117776,0.176393082914193,-2.68319048940558
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,948,-0.0343634522500476,0.0978507167835021,-0.226150857145712,0.157423952645617,-3.37797341175613
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1027,-0.034024562724245,0.0974018169317962,-0.224932123910565,0.156882998462075,-3.34522367002477
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1029,-0.0301727018589339,0.0979544890299559,-0.222163500357647,0.16181809663978,-2.97220497277416
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1109,-0.035013550567242,0.100875125436112,-0.232728796422021,0.162701695287537,-3.44076681549049
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1122,-0.0294201966235507,0.100423130740848,-0.226249532875613,0.167409139628512,-2.89916357046639
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1169,-0.0348963829647008,0.10329257047024,-0.237349821086372,0.16755705515697,-3.42945253881465
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1180,-0.0248397646466034,0.104756476245725,-0.230162458088224,0.180482928795017,-2.45337963218528
"Earring_No+Eyes_Coins","Earring_No","Earring","No",2,1219,-0.032178007636341,0.0982051364783132,-0.224660075133835,0.160304059861153,-3.16658041447717
