"treatment_combo","covariate","trait","level","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,1,0.0157795743880215,0.0419798292091829,-0.0665008908619769,0.09806003963802,1.59047293025028
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,2,0.011964581886645,0.0409368875041047,-0.0682717176214002,0.0922008813946903,1.20364438098131
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,3,0.0084484604592866,0.0382056997609129,-0.0664347110721027,0.0833316319906759,0.848424941755432
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,4,0.01708533351744,0.0404481542595395,-0.0621930488312573,0.0963637158661374,1.72321226167769
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,5,0.0091719482557607,0.0400493790966981,-0.0693248347737676,0.087668731285289,0.921413946637828
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,7,0.015414967480019,0.0421262371709664,-0.0671524573750751,0.0979823923351132,1.55343909383923
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,8,0.0162212017681323,0.0404539425282081,-0.0630685255871555,0.0955109291234202,1.63534797294909
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,9,0.0199862612058273,0.0402936926902734,-0.0589893764671087,0.0989618988787632,2.01873237868138
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,10,0.0149776235388342,0.0436678298891527,-0.070611323043905,0.100566570121573,1.50903502317845
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,11,0.0155904960390932,0.043453251430963,-0.0695778767655943,0.100758868843781,1.57126618720862
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,12,0.0191759603765881,0.0367774594269147,-0.0529078601001647,0.0912597808533408,1.93609999830144
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,13,0.0111459445889748,0.0422748514984303,-0.0717127643479485,0.0940046535258982,1.12082920545165
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,14,0.0184171805813757,0.0416049703471975,-0.0631285612991314,0.0999629224618828,1.8587822824899
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,16,0.0175686875206905,0.0421594326241102,-0.0650638004225655,0.100201175463947,1.77239246831524
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,17,0.018778101128099,0.0372951193018522,-0.0543203327035312,0.0918765349597292,1.895551844926
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,18,0.0139343749716819,0.041797984475073,-0.0679896745994613,0.095858424542825,1.40319108820401
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,19,0.0189651032054037,0.0412695868279154,-0.0619232869773105,0.099853493388118,1.91460830653254
"Earring_No+Eyes_Robot","Earring_No","Earring","No",2,20,0.00682823686761439,0.0391333436119854,-0.069873116611877,0.0835295903471058,0.685160242856075
